model,sigma,head,layer,var_before,var_after_full,vdi_full,var_after_minus,vdi_minus,vdi_effect
pythia-2.8b-deduped,0.05,0,0,5.358499069213867,1346.22822265625,-250.23233302226777,1277.578447265625,-237.42095160670723,-12.81138141556052
pythia-2.8b-deduped,0.05,1,0,5.358499069213867,1346.22822265625,-250.23233302226777,1401.65703125,-260.57642525365486,10.344092231387085
pythia-2.8b-deduped,0.05,2,0,5.358499069213867,1346.22822265625,-250.23233302226777,1356.46513671875,-252.1427400094247,1.9104069871569327
pythia-2.8b-deduped,0.05,3,0,5.358499069213867,1346.22822265625,-250.23233302226777,1372.36744140625,-255.11041892139153,4.8780858991237785
pythia-2.8b-deduped,0.05,4,0,5.358499069213867,1346.22822265625,-250.23233302226777,1340.77474609375,-249.21460837735148,-1.017724644916275
pythia-2.8b-deduped,0.05,5,0,5.358499069213867,1346.22822265625,-250.23233302226777,1355.17884765625,-251.90269348783616,1.6703604655684061
pythia-2.8b-deduped,0.05,6,0,5.358499069213867,1346.22822265625,-250.23233302226777,1349.50255859375,-250.84338770291745,0.6110546806496926
pythia-2.8b-deduped,0.05,7,0,5.358499069213867,1346.22822265625,-250.23233302226777,1336.86693359375,-248.48533466664924,-1.746998355618514
pythia-2.8b-deduped,0.05,8,0,5.358499069213867,1346.22822265625,-250.23233302226777,1377.638984375,-256.09419122416875,5.861858201900987
pythia-2.8b-deduped,0.05,9,0,5.358499069213867,1346.22822265625,-250.23233302226777,1342.33306640625,-249.50542121362741,-0.726911808640353
pythia-2.8b-deduped,0.05,10,0,5.358499069213867,1346.22822265625,-250.23233302226777,1329.5633984375,-247.122353155985,-3.1099798662827585
pythia-2.8b-deduped,0.05,11,0,5.358499069213867,1346.22822265625,-250.23233302226777,1332.86375,-247.73826285753958,-2.4940701647281696
pythia-2.8b-deduped,0.05,12,0,5.358499069213867,1346.22822265625,-250.23233302226777,1363.02306640625,-253.36657705834335,3.1342440360755885
pythia-2.8b-deduped,0.05,13,0,5.358499069213867,1346.22822265625,-250.23233302226777,1357.218046875,-252.28324766773065,2.050914645462907
pythia-2.8b-deduped,0.05,14,0,5.358499069213867,1346.22822265625,-250.23233302226777,1360.3824609375,-252.87378879158385,2.6414557693161047
pythia-2.8b-deduped,0.05,15,0,5.358499069213867,1346.22822265625,-250.23233302226777,1338.90341796875,-248.86538220397182,-1.366950818295928
pythia-2.8b-deduped,0.05,16,0,5.358499069213867,1346.22822265625,-250.23233302226777,1346.7006640625,-250.32049976451174,0.08816674224398775
pythia-2.8b-deduped,0.05,17,0,5.358499069213867,1346.22822265625,-250.23233302226777,1304.969326171875,-242.5326216009447,-7.699711421323037
pythia-2.8b-deduped,0.05,18,0,5.358499069213867,1346.22822265625,-250.23233302226777,1369.73916015625,-254.6199305932139,4.387597570946148
pythia-2.8b-deduped,0.05,19,0,5.358499069213867,1346.22822265625,-250.23233302226777,1354.78955078125,-251.83004312997073,1.5977101077029876
pythia-2.8b-deduped,0.05,20,0,5.358499069213867,1346.22822265625,-250.23233302226777,1325.5158984375,-246.3670110447483,-3.86532197751946
pythia-2.8b-deduped,0.05,21,0,5.358499069213867,1346.22822265625,-250.23233302226777,1277.78060546875,-237.45867825376152,-12.773654768506224
pythia-2.8b-deduped,0.05,22,0,5.358499069213867,1346.22822265625,-250.23233302226777,1342.78828125,-249.59037314473161,-0.6419598775361299
pythia-2.8b-deduped,0.05,23,0,5.358499069213867,1346.22822265625,-250.23233302226777,1337.60259765625,-248.6226238689049,-1.609709153362855
pythia-2.8b-deduped,0.05,24,0,5.358499069213867,1346.22822265625,-250.23233302226777,1342.41720703125,-249.521123488446,-0.7112095338217699
pythia-2.8b-deduped,0.05,25,0,5.358499069213867,1346.22822265625,-250.23233302226777,1344.05037109375,-249.82590362210004,-0.4064294001677207
pythia-2.8b-deduped,0.05,26,0,5.358499069213867,1346.22822265625,-250.23233302226777,1377.32220703125,-256.0350744193213,5.8027413970535076
pythia-2.8b-deduped,0.05,27,0,5.358499069213867,1346.22822265625,-250.23233302226777,1068.4096875,-198.3859985230424,-51.84633449922537
pythia-2.8b-deduped,0.05,28,0,5.358499069213867,1346.22822265625,-250.23233302226777,1340.01466796875,-249.07276303685921,-1.1595699854085284
pythia-2.8b-deduped,0.05,29,0,5.358499069213867,1346.22822265625,-250.23233302226777,1354.315078125,-251.74149731702545,1.5091642947577015
pythia-2.8b-deduped,0.05,30,0,5.358499069213867,1346.22822265625,-250.23233302226777,1370.05783203125,-254.67940095438854,4.447067932120777
pythia-2.8b-deduped,0.05,31,0,5.358499069213867,1346.22822265625,-250.23233302226777,1149.790810546875,-213.57329668166915,-36.659036340598604
