layer,entropy
0,3.9566359519958496
1,3.5062525272369385
2,2.5146279335021973
3,2.706880807876587
4,3.145066022872925
5,3.2400553226470947
6,3.3624629974365234
7,3.797762632369995
8,3.8341562747955322
9,4.168088912963867
10,4.828274250030518
11,6.140728950500488
