rank,layer,head,mean_value
1,0,2,1.7265625
2,0,11,1.4521484375
3,0,4,1.4267578125
4,0,7,1.4228515625
5,0,9,1.3564453125
6,0,15,1.3466796875
7,0,6,1.3212890625
8,0,13,1.3095703125
9,0,12,1.302734375
10,0,5,1.29296875
11,0,0,1.2890625
12,0,8,1.28515625
