layer,head,entropy_final_abl,entropy_final_base,d_entropy_final
9,0,5.950181007385254,5.949722766876221,0.0004582405090332031
9,1,5.954655647277832,5.949722766876221,0.004932880401611328
9,2,5.952703475952148,5.949722766876221,0.0029807090759277344
9,3,5.94074821472168,5.949722766876221,-0.008974552154541016
9,4,5.935872554779053,5.949722766876221,-0.013850212097167969
9,5,5.934037685394287,5.949722766876221,-0.015685081481933594
9,6,5.947098731994629,5.949722766876221,-0.002624034881591797
9,7,5.94921350479126,5.949722766876221,-0.0005092620849609375
9,8,5.942698001861572,5.949722766876221,-0.0070247650146484375
9,9,5.9482855796813965,5.949722766876221,-0.0014371871948242188
9,10,5.966142654418945,5.949722766876221,0.01641988754272461
9,11,5.949641704559326,5.949722766876221,-8.106231689453125e-05
10,0,5.946572780609131,5.949722766876221,-0.0031499862670898438
10,1,5.960339546203613,5.949722766876221,0.010616779327392578
10,2,5.97752571105957,5.949722766876221,0.02780294418334961
10,3,5.952719688415527,5.949722766876221,0.0029969215393066406
10,4,5.929872989654541,5.949722766876221,-0.019849777221679688
10,5,5.96394157409668,5.949722766876221,0.014218807220458984
10,6,5.948350429534912,5.949722766876221,-0.0013723373413085938
10,7,5.902708053588867,5.949722766876221,-0.047014713287353516
10,8,5.918508529663086,5.949722766876221,-0.031214237213134766
10,9,5.959930896759033,5.949722766876221,0.0102081298828125
10,10,5.923110008239746,5.949722766876221,-0.02661275863647461
10,11,5.978988170623779,5.949722766876221,0.029265403747558594
11,0,5.847473621368408,5.949722766876221,-0.1022491455078125
11,1,5.961595058441162,5.949722766876221,0.011872291564941406
11,2,5.961194038391113,5.949722766876221,0.011471271514892578
11,3,5.945779323577881,5.949722766876221,-0.003943443298339844
11,4,5.895682334899902,5.949722766876221,-0.05404043197631836
11,5,5.945883274078369,5.949722766876221,-0.0038394927978515625
11,6,5.962385177612305,5.949722766876221,0.012662410736083984
11,7,5.938729763031006,5.949722766876221,-0.010993003845214844
11,8,6.006027698516846,5.949722766876221,0.056304931640625
11,9,5.959829807281494,5.949722766876221,0.010107040405273438
11,10,5.9478983879089355,5.949722766876221,-0.0018243789672851562
11,11,5.945611476898193,5.949722766876221,-0.004111289978027344
