layer,head,ld_abl,ld_base,d_ld,acc_abl,acc_base,d_acc,p_drop,kl_div,acc_flip_rate
6,0,3.096425,3.17935,-0.08292499999999992,0.9168,0.92,-0.0032000000000000917,0.005251454162597656,,0.0832
6,1,3.11315625,3.17935,-0.06619375000000005,0.9142,0.92,-0.005800000000000027,0.0133212890625,,0.0858
6,2,3.1016375,3.17935,-0.07771250000000007,0.9126,0.92,-0.007400000000000073,0.02656669921875,,0.0874
6,3,3.1751,3.17935,-0.004249999999999865,0.9314,0.92,0.011399999999999966,-0.0204318359375,,0.0686
6,4,3.0921875,3.17935,-0.08716249999999981,0.9276,0.92,0.00759999999999994,-0.01138507080078125,,0.0724
6,5,3.13803125,3.17935,-0.04131874999999985,0.9018,0.92,-0.018199999999999994,0.0239425048828125,,0.0982
6,6,3.09490625,3.17935,-0.0844437499999997,0.8906,0.92,-0.029400000000000093,0.064643798828125,,0.1094
6,7,3.07410625,3.17935,-0.10524375000000008,0.9242,0.92,0.0041999999999999815,0.00893551025390625,,0.0758
6,8,3.0690875,3.17935,-0.11026249999999971,0.9122,0.92,-0.007800000000000029,0.01896767578125,,0.0878
6,9,2.92760625,3.17935,-0.2517437499999997,0.914,0.92,-0.006000000000000005,-0.01207855224609375,,0.086
6,10,3.06970625,3.17935,-0.10964375000000004,0.905,0.92,-0.015000000000000013,0.0263831787109375,,0.095
6,11,3.165675,3.17935,-0.013675000000000104,0.9234,0.92,0.0033999999999999586,-0.002009893798828125,,0.0766
7,0,3.107625,3.17935,-0.07172499999999982,0.915,0.92,-0.0050000000000000044,0.01993935546875,,0.085
7,1,2.8893375,3.17935,-0.2900125,0.8934,0.92,-0.026600000000000068,0.055033935546875,,0.1066
7,2,3.04425625,3.17935,-0.1350937499999998,0.904,0.92,-0.016000000000000014,0.028670458984375,,0.096
7,3,3.1662625,3.17935,-0.013087499999999697,0.9308,0.92,0.01079999999999992,-0.03024637451171875,,0.0692
7,4,3.10979375,3.17935,-0.06955624999999976,0.9144,0.92,-0.005600000000000049,0.0061230712890625,,0.0856
7,5,3.2397,3.17935,0.060350000000000126,0.9272,0.92,0.007199999999999984,-0.0067888916015625,,0.0728
7,6,2.91270625,3.17935,-0.26664375000000007,0.9064,0.92,-0.013600000000000056,0.0406265625,,0.0936
7,7,3.165375,3.17935,-0.013974999999999849,0.9184,0.92,-0.0016000000000000458,0.010074072265625,,0.0816
7,8,3.22415,3.17935,0.04479999999999995,0.9182,0.92,-0.0018000000000000238,0.0023790542602539063,,0.0818
7,9,3.247875,3.17935,0.06852500000000017,0.9274,0.92,0.007399999999999962,-0.0215158935546875,,0.0726
7,10,3.0715625,3.17935,-0.1077874999999997,0.905,0.92,-0.015000000000000013,0.017918896484375,,0.095
7,11,3.19391875,3.17935,0.01456875000000002,0.916,0.92,-0.0040000000000000036,0.0003117034912109375,,0.084
8,0,3.089525,3.17935,-0.08982499999999982,0.9072,0.92,-0.012800000000000034,0.053049560546875,,0.0928
8,1,3.199803125,3.17935,0.02045312499999996,0.9158,0.92,-0.0042000000000000925,-0.0019673583984375,,0.0842
8,2,3.18269375,3.17935,0.0033437499999999787,0.9214,0.92,0.0013999999999999568,-0.00535213623046875,,0.0786
8,3,3.21874375,3.17935,0.039393749999999894,0.8776,0.92,-0.04239999999999999,0.061563134765625,,0.1224
8,4,3.181084375,3.17935,0.0017343750000002878,0.9194,0.92,-0.0006000000000000449,-0.002135272216796875,,0.0806
8,5,3.219975,3.17935,0.04062499999999991,0.923,0.92,0.0030000000000000027,-0.031190966796875,,0.077
8,6,3.19626875,3.17935,0.016918750000000315,0.9156,0.92,-0.0044000000000000705,0.01433424072265625,,0.0844
