layer,head,mean_value,rank
12,13,1.646484375,224
13,1,1.646484375,225
14,18,1.646484375,226
15,3,1.646484375,227
15,9,1.646484375,228
15,11,1.646484375,229
16,12,1.646484375,230
16,15,1.646484375,231
17,9,1.646484375,232
19,7,1.646484375,233
20,8,1.646484375,234
20,18,1.646484375,235
23,12,1.646484375,236
24,7,1.646484375,237
24,12,1.646484375,238
26,5,1.646484375,239
26,12,1.646484375,240
28,3,1.646484375,241
28,14,1.646484375,242
28,19,1.646484375,243
29,11,1.646484375,244
32,4,1.646484375,245
33,0,1.646484375,246
33,14,1.646484375,247
33,18,1.646484375,248
35,6,1.646484375,249
35,19,1.646484375,250
1,10,1.6474609375,251
1,15,1.6474609375,252
2,4,1.6474609375,253
3,3,1.6474609375,254
4,0,1.6474609375,255
4,1,1.6474609375,256
4,16,1.6474609375,257
5,7,1.6474609375,258
5,10,1.6474609375,259
5,17,1.6474609375,260
6,18,1.6474609375,261
6,19,1.6474609375,262
7,1,1.6474609375,263
7,15,1.6474609375,264
7,18,1.6474609375,265
10,8,1.6474609375,266
10,14,1.6474609375,267
10,16,1.6474609375,268
10,19,1.6474609375,269
11,1,1.6474609375,270
11,6,1.6474609375,271
11,7,1.6474609375,272
12,0,1.6474609375,273
12,6,1.6474609375,274
13,13,1.6474609375,275
13,15,1.6474609375,276
13,18,1.6474609375,277
14,3,1.6474609375,278
14,8,1.6474609375,279
15,13,1.6474609375,280
16,6,1.6474609375,281
16,8,1.6474609375,282
17,1,1.6474609375,283
17,10,1.6474609375,284
17,11,1.6474609375,285
17,13,1.6474609375,286
18,1,1.6474609375,287
19,13,1.6474609375,288
19,15,1.6474609375,289
20,10,1.6474609375,290
20,11,1.6474609375,291
20,16,1.6474609375,292
21,5,1.6474609375,293
21,8,1.6474609375,294
21,12,1.6474609375,295
22,13,1.6474609375,296
22,19,1.6474609375,297
23,0,1.6474609375,298
23,6,1.6474609375,299
24,10,1.6474609375,300
25,0,1.6474609375,301
25,9,1.6474609375,302
26,4,1.6474609375,303
26,8,1.6474609375,304
26,11,1.6474609375,305
27,2,1.6474609375,306
27,10,1.6474609375,307
27,11,1.6474609375,308
27,12,1.6474609375,309
27,13,1.6474609375,310
27,14,1.6474609375,311
28,4,1.6474609375,312
28,16,1.6474609375,313
28,18,1.6474609375,314
30,2,1.6474609375,315
31,6,1.6474609375,316
31,13,1.6474609375,317
32,9,1.6474609375,318
32,12,1.6474609375,319
33,1,1.6474609375,320
33,4,1.6474609375,321
33,6,1.6474609375,322
33,15,1.6474609375,323
34,11,1.6474609375,324
34,17,1.6474609375,325
35,7,1.6474609375,326
35,13,1.6474609375,327
0,4,1.6484375,328
2,14,1.6484375,329
3,11,1.6484375,330
3,14,1.6484375,331
3,19,1.6484375,332
4,2,1.6484375,333
4,18,1.6484375,334
5,8,1.6484375,335
5,15,1.6484375,336
5,19,1.6484375,337
6,1,1.6484375,338
6,17,1.6484375,339
7,13,1.6484375,340
7,16,1.6484375,341
8,10,1.6484375,342
8,18,1.6484375,343
9,4,1.6484375,344
10,3,1.6484375,345
10,18,1.6484375,346
11,2,1.6484375,347
11,8,1.6484375,348
11,12,1.6484375,349
12,3,1.6484375,350
13,2,1.6484375,351
14,9,1.6484375,352
15,4,1.6484375,353
15,15,1.6484375,354
17,4,1.6484375,355
18,4,1.6484375,356
18,6,1.6484375,357
18,9,1.6484375,358
18,11,1.6484375,359
18,14,1.6484375,360
19,4,1.6484375,361
19,11,1.6484375,362
20,17,1.6484375,363
21,10,1.6484375,364
22,5,1.6484375,365
22,12,1.6484375,366
22,14,1.6484375,367
22,17,1.6484375,368
23,9,1.6484375,369
24,4,1.6484375,370
24,5,1.6484375,371
24,13,1.6484375,372
25,4,1.6484375,373
25,6,1.6484375,374
25,10,1.6484375,375
25,18,1.6484375,376
26,7,1.6484375,377
26,15,1.6484375,378
26,19,1.6484375,379
27,3,1.6484375,380
27,6,1.6484375,381
27,17,1.6484375,382
29,0,1.6484375,383
29,1,1.6484375,384
29,13,1.6484375,385
29,16,1.6484375,386
30,14,1.6484375,387
31,15,1.6484375,388
32,8,1.6484375,389
33,2,1.6484375,390
33,19,1.6484375,391
0,1,1.6494140625,392
0,17,1.6494140625,393
1,7,1.6494140625,394
1,11,1.6494140625,395
2,19,1.6494140625,396
3,5,1.6494140625,397
3,17,1.6494140625,398
5,9,1.6494140625,399
5,11,1.6494140625,400
6,12,1.6494140625,401
7,10,1.6494140625,402
8,1,1.6494140625,403
8,4,1.6494140625,404
8,6,1.6494140625,405
8,7,1.6494140625,406
9,9,1.6494140625,407
11,5,1.6494140625,408
12,1,1.6494140625,409
12,9,1.6494140625,410
12,11,1.6494140625,411
14,4,1.6494140625,412
15,7,1.6494140625,413
16,16,1.6494140625,414
17,6,1.6494140625,415
19,3,1.6494140625,416
19,6,1.6494140625,417
21,1,1.6494140625,418
21,4,1.6494140625,419
21,7,1.6494140625,420
21,15,1.6494140625,421
21,17,1.6494140625,422
22,15,1.6494140625,423
24,16,1.6494140625,424
25,8,1.6494140625,425
25,16,1.6494140625,426
26,10,1.6494140625,427
26,16,1.6494140625,428
27,0,1.6494140625,429
27,16,1.6494140625,430
27,18,1.6494140625,431
28,1,1.6494140625,432
28,7,1.6494140625,433
28,15,1.6494140625,434
29,5,1.6494140625,435
29,7,1.6494140625,436
30,9,1.6494140625,437
30,16,1.6494140625,438
30,18,1.6494140625,439
30,19,1.6494140625,440
31,0,1.6494140625,441
31,7,1.6494140625,442
31,8,1.6494140625,443
31,11,1.6494140625,444
32,3,1.6494140625,445
32,5,1.6494140625,446
32,7,1.6494140625,447
32,19,1.6494140625,448
34,0,1.6494140625,449
34,10,1.6494140625,450
35,18,1.6494140625,451
0,14,1.650390625,452
2,5,1.650390625,453
2,6,1.650390625,454
3,2,1.650390625,455
4,4,1.650390625,456
4,6,1.650390625,457
4,13,1.650390625,458
4,19,1.650390625,459
5,13,1.650390625,460
6,14,1.650390625,461
6,16,1.650390625,462
7,3,1.650390625,463
7,19,1.650390625,464
8,0,1.650390625,465
8,2,1.650390625,466
8,19,1.650390625,467
11,13,1.650390625,468
11,14,1.650390625,469
11,15,1.650390625,470
12,7,1.650390625,471
13,4,1.650390625,472
13,19,1.650390625,473
14,1,1.650390625,474
14,2,1.650390625,475
16,5,1.650390625,476
16,9,1.650390625,477
17,18,1.650390625,478
18,7,1.650390625,479
19,17,1.650390625,480
20,1,1.650390625,481
21,16,1.650390625,482
22,6,1.650390625,483
22,18,1.650390625,484
23,7,1.650390625,485
23,15,1.650390625,486
24,1,1.650390625,487
24,11,1.650390625,488
24,14,1.650390625,489
26,9,1.650390625,490
26,13,1.650390625,491
26,14,1.650390625,492
27,19,1.650390625,493
28,9,1.650390625,494
28,13,1.650390625,495
28,17,1.650390625,496
29,6,1.650390625,497
29,10,1.650390625,498
29,14,1.650390625,499
29,18,1.650390625,500
30,4,1.650390625,501
30,7,1.650390625,502
30,8,1.650390625,503
30,11,1.650390625,504
30,15,1.650390625,505
31,17,1.650390625,506
31,18,1.650390625,507
33,3,1.650390625,508
33,13,1.650390625,509
34,16,1.650390625,510
34,18,1.650390625,511
35,11,1.650390625,512
0,16,1.6513671875,513
1,4,1.6513671875,514
1,16,1.6513671875,515
2,9,1.6513671875,516
3,15,1.6513671875,517
5,4,1.6513671875,518
7,14,1.6513671875,519
8,13,1.6513671875,520
10,4,1.6513671875,521
10,9,1.6513671875,522
11,18,1.6513671875,523
12,4,1.6513671875,524
12,5,1.6513671875,525
17,5,1.6513671875,526
17,15,1.6513671875,527
17,19,1.6513671875,528
18,16,1.6513671875,529
19,0,1.6513671875,530
20,0,1.6513671875,531
20,15,1.6513671875,532
20,19,1.6513671875,533
21,3,1.6513671875,534
21,14,1.6513671875,535
23,5,1.6513671875,536
23,8,1.6513671875,537
23,11,1.6513671875,538
24,3,1.6513671875,539
25,7,1.6513671875,540
25,11,1.6513671875,541
25,15,1.6513671875,542
25,17,1.6513671875,543
26,1,1.6513671875,544
26,2,1.6513671875,545
26,6,1.6513671875,546
26,18,1.6513671875,547
27,9,1.6513671875,548
28,5,1.6513671875,549
28,11,1.6513671875,550
29,3,1.6513671875,551
29,19,1.6513671875,552
30,10,1.6513671875,553
31,14,1.6513671875,554
31,19,1.6513671875,555
32,6,1.6513671875,556
32,18,1.6513671875,557
33,7,1.6513671875,558
0,9,1.65234375,559
2,8,1.65234375,560
2,11,1.65234375,561
3,8,1.65234375,562
5,5,1.65234375,563
6,13,1.65234375,564
8,8,1.65234375,565
8,12,1.65234375,566
9,3,1.65234375,567
9,10,1.65234375,568
9,12,1.65234375,569
10,1,1.65234375,570
10,6,1.65234375,571
13,0,1.65234375,572
14,11,1.65234375,573
17,8,1.65234375,574
17,14,1.65234375,575
20,3,1.65234375,576
21,11,1.65234375,577
22,4,1.65234375,578
22,16,1.65234375,579
23,4,1.65234375,580
28,0,1.65234375,581
28,2,1.65234375,582
30,0,1.65234375,583
31,4,1.65234375,584
31,5,1.65234375,585
31,10,1.65234375,586
32,10,1.65234375,587
34,15,1.65234375,588
0,5,1.6533203125,589
0,19,1.6533203125,590
1,17,1.6533203125,591
3,1,1.6533203125,592
3,7,1.6533203125,593
3,12,1.6533203125,594
4,5,1.6533203125,595
5,6,1.6533203125,596
5,14,1.6533203125,597
6,2,1.6533203125,598
9,5,1.6533203125,599
10,7,1.6533203125,600
13,6,1.6533203125,601
15,2,1.6533203125,602
16,4,1.6533203125,603
18,10,1.6533203125,604
20,7,1.6533203125,605
22,3,1.6533203125,606
25,3,1.6533203125,607
25,12,1.6533203125,608
27,1,1.6533203125,609
27,8,1.6533203125,610
27,15,1.6533203125,611
29,2,1.6533203125,612
31,16,1.6533203125,613
33,9,1.6533203125,614
33,10,1.6533203125,615
34,1,1.6533203125,616
34,5,1.6533203125,617
34,13,1.6533203125,618
0,6,1.654296875,619
1,0,1.654296875,620
1,13,1.654296875,621
2,7,1.654296875,622
3,18,1.654296875,623
5,3,1.654296875,624
5,18,1.654296875,625
6,15,1.654296875,626
8,3,1.654296875,627
9,14,1.654296875,628
9,19,1.654296875,629
10,15,1.654296875,630
11,16,1.654296875,631
11,19,1.654296875,632
12,18,1.654296875,633
13,11,1.654296875,634
14,0,1.654296875,635
18,12,1.654296875,636
18,19,1.654296875,637
19,9,1.654296875,638
21,19,1.654296875,639
22,1,1.654296875,640
23,17,1.654296875,641
24,6,1.654296875,642
32,16,1.654296875,643
32,17,1.654296875,644
34,8,1.654296875,645
0,7,1.6552734375,646
0,12,1.6552734375,647
3,4,1.6552734375,648
5,16,1.6552734375,649
8,17,1.6552734375,650
9,11,1.6552734375,651
9,13,1.6552734375,652
9,16,1.6552734375,653
9,17,1.6552734375,654
11,10,1.6552734375,655
14,16,1.6552734375,656
17,17,1.6552734375,657
19,18,1.6552734375,658
21,18,1.6552734375,659
22,2,1.6552734375,660
23,19,1.6552734375,661
25,5,1.6552734375,662
28,12,1.6552734375,663
31,1,1.6552734375,664
33,8,1.6552734375,665
34,12,1.6552734375,666
35,1,1.6552734375,667
0,8,1.65625,668
0,10,1.65625,669
1,19,1.65625,670
2,18,1.65625,671
11,11,1.65625,672
12,19,1.65625,673
15,16,1.65625,674
19,12,1.65625,675
23,14,1.65625,676
27,4,1.65625,677
30,12,1.65625,678
4,10,1.6572265625,679
4,15,1.6572265625,680
11,3,1.6572265625,681
15,0,1.6572265625,682
15,14,1.6572265625,683
26,0,1.6572265625,684
32,1,1.6572265625,685
35,12,1.6572265625,686
1,8,1.658203125,687
1,12,1.658203125,688
8,11,1.658203125,689
18,2,1.658203125,690
25,19,1.658203125,691
6,3,1.6591796875,692
13,9,1.6591796875,693
15,5,1.6591796875,694
22,10,1.6591796875,695
32,2,1.6591796875,696
11,4,1.66015625,697
12,8,1.66015625,698
12,14,1.66015625,699
13,5,1.66015625,700
14,7,1.66015625,701
14,12,1.66015625,702
21,13,1.66015625,703
30,3,1.66015625,704
15,18,1.6611328125,705
16,7,1.6611328125,706
18,3,1.662109375,707
10,17,1.6630859375,708
33,17,1.6630859375,709
6,9,1.6640625,710
10,11,1.6640625,711
19,14,1.666015625,712
30,13,1.66796875,713
24,17,1.669921875,714
20,2,1.6708984375,715
32,0,1.671875,716
29,8,1.6728515625,717
24,18,1.673828125,718
34,14,1.6748046875,719
33,11,1.693359375,720
