layer,entropy
0,3.7141523361206055
1,2.931494951248169
2,2.100161552429199
3,2.2168478965759277
4,2.813978910446167
5,2.8793318271636963
6,2.9769654273986816
7,3.6066532135009766
8,3.749619483947754
9,3.7898473739624023
10,4.538448810577393
11,6.703933238983154
