layer,entropy
0,4.3584818840026855
1,4.0791120529174805
2,2.8039345741271973
3,2.8855204582214355
4,3.251652956008911
5,3.156683921813965
6,3.3267722129821777
7,3.8063011169433594
8,3.8283321857452393
9,4.199342250823975
10,4.8831071853637695
11,5.949486255645752
