layer,entropy
0,4.236182689666748
1,3.821636915206909
2,2.6873910427093506
3,2.8230140209198
4,3.2112679481506348
5,3.2874650955200195
6,3.388303518295288
7,3.7530524730682373
8,3.858272075653076
9,4.264841079711914
10,4.960988521575928
11,6.256605625152588
