rank,layer,head,mean_value
1,0,2,1.599609375
2,0,11,1.4052734375
3,0,4,1.353515625
4,0,7,1.3369140625
5,0,9,1.3095703125
6,0,15,1.2890625
7,0,0,1.2802734375
8,0,8,1.2763671875
9,0,3,1.26953125
10,0,1,1.2626953125
11,0,13,1.2529296875
12,0,6,1.2490234375
