layer,head,entropy_final_abl,entropy_final_base,d_entropy_final
9,0,6.672024250030518,6.703469753265381,-0.03144550323486328
9,1,6.70073938369751,6.703469753265381,-0.0027303695678710938
9,2,6.7549028396606445,6.703469753265381,0.05143308639526367
9,3,6.685976982116699,6.703469753265381,-0.01749277114868164
9,4,6.693460464477539,6.703469753265381,-0.010009288787841797
9,5,6.694900989532471,6.703469753265381,-0.008568763732910156
9,6,6.701390743255615,6.703469753265381,-0.002079010009765625
9,7,6.709368705749512,6.703469753265381,0.005898952484130859
9,8,6.6958394050598145,6.703469753265381,-0.007630348205566406
9,9,6.695362091064453,6.703469753265381,-0.008107662200927734
9,10,6.716932773590088,6.703469753265381,0.013463020324707031
9,11,6.7096662521362305,6.703469753265381,0.006196498870849609
10,0,6.7772626876831055,6.703469753265381,0.07379293441772461
10,1,6.703109264373779,6.703469753265381,-0.0003604888916015625
10,2,6.738014221191406,6.703469753265381,0.03454446792602539
10,3,6.687008380889893,6.703469753265381,-0.01646137237548828
10,4,6.686207294464111,6.703469753265381,-0.01726245880126953
10,5,6.710230350494385,6.703469753265381,0.006760597229003906
10,6,6.709808349609375,6.703469753265381,0.006338596343994141
10,7,6.623259544372559,6.703469753265381,-0.08021020889282227
10,8,6.666027069091797,6.703469753265381,-0.037442684173583984
10,9,6.677735328674316,6.703469753265381,-0.025734424591064453
10,10,6.695924282073975,6.703469753265381,-0.00754547119140625
10,11,6.7392072677612305,6.703469753265381,0.03573751449584961
11,0,6.784416198730469,6.703469753265381,0.08094644546508789
11,1,6.703573226928711,6.703469753265381,0.00010347366333007812
11,2,6.722349166870117,6.703469753265381,0.018879413604736328
11,3,6.730505466461182,6.703469753265381,0.02703571319580078
11,4,6.669527053833008,6.703469753265381,-0.03394269943237305
11,5,6.695493698120117,6.703469753265381,-0.007976055145263672
11,6,6.746609210968018,6.703469753265381,0.04313945770263672
11,7,6.6906819343566895,6.703469753265381,-0.012787818908691406
11,8,6.719891548156738,6.703469753265381,0.016421794891357422
11,9,6.710813522338867,6.703469753265381,0.007343769073486328
11,10,6.657162666320801,6.703469753265381,-0.04630708694458008
11,11,6.737459182739258,6.703469753265381,0.03398942947387695
