layer,head,entropy_final_abl,entropy_final_base,d_entropy_final
21,0,6.502599239349365,6.5030927658081055,-0.0004935264587402344
21,1,6.480144500732422,6.5030927658081055,-0.022948265075683594
21,2,6.499676704406738,6.5030927658081055,-0.0034160614013671875
21,3,6.477119445800781,6.5030927658081055,-0.02597332000732422
21,4,6.496563911437988,6.5030927658081055,-0.0065288543701171875
21,5,6.505407810211182,6.5030927658081055,0.002315044403076172
21,6,6.514517784118652,6.5030927658081055,0.011425018310546875
21,7,6.493600368499756,6.5030927658081055,-0.00949239730834961
21,8,6.505707740783691,6.5030927658081055,0.0026149749755859375
21,9,6.50469970703125,6.5030927658081055,0.0016069412231445312
21,10,6.508261203765869,6.5030927658081055,0.005168437957763672
21,11,6.495574951171875,6.5030927658081055,-0.007517814636230469
21,12,6.506869316101074,6.5030927658081055,0.00377655029296875
21,13,6.505128383636475,6.5030927658081055,0.0020356178283691406
21,14,6.494908809661865,6.5030927658081055,-0.008183956146240234
21,15,6.515265464782715,6.5030927658081055,0.012172698974609375
22,0,6.48403787612915,6.5030927658081055,-0.019054889678955078
22,1,6.519753932952881,6.5030927658081055,0.01666116714477539
22,2,6.350235939025879,6.5030927658081055,-0.15285682678222656
22,3,6.52807092666626,6.5030927658081055,0.024978160858154297
22,4,6.5167694091796875,6.5030927658081055,0.013676643371582031
22,5,6.514697074890137,6.5030927658081055,0.01160430908203125
22,6,6.51877498626709,6.5030927658081055,0.015682220458984375
22,7,6.502922058105469,6.5030927658081055,-0.00017070770263671875
22,8,6.5215559005737305,6.5030927658081055,0.018463134765625
22,9,6.508542060852051,6.5030927658081055,0.0054492950439453125
22,10,6.5000152587890625,6.5030927658081055,-0.0030775070190429688
22,11,6.4985222816467285,6.5030927658081055,-0.004570484161376953
22,12,6.503096103668213,6.5030927658081055,3.337860107421875e-06
22,13,6.479680061340332,6.5030927658081055,-0.023412704467773438
22,14,6.506462097167969,6.5030927658081055,0.0033693313598632812
22,15,6.488565921783447,6.5030927658081055,-0.014526844024658203
23,0,6.5345139503479,6.5030927658081055,0.03142118453979492
23,1,6.495733737945557,6.5030927658081055,-0.007359027862548828
23,2,6.504907131195068,6.5030927658081055,0.0018143653869628906
23,3,6.326932430267334,6.5030927658081055,-0.17616033554077148
23,4,6.582849025726318,6.5030927658081055,0.07975625991821289
23,5,6.361447334289551,6.5030927658081055,-0.1416454315185547
23,6,6.603933811187744,6.5030927658081055,0.10084104537963867
23,7,6.497394561767578,6.5030927658081055,-0.005698204040527344
23,8,6.481316566467285,6.5030927658081055,-0.021776199340820312
23,9,6.517508029937744,6.5030927658081055,0.014415264129638672
23,10,6.492823600769043,6.5030927658081055,-0.0102691650390625
23,11,6.495601654052734,6.5030927658081055,-0.007491111755371094
23,12,6.487536430358887,6.5030927658081055,-0.01555633544921875
23,13,6.5295562744140625,6.5030927658081055,0.02646350860595703
23,14,6.4971513748168945,6.5030927658081055,-0.0059413909912109375
23,15,6.5609636306762695,6.5030927658081055,0.05787086486816406
