layer,head,ld_abl,ld_base,d_ld,acc_abl,acc_base,d_acc
6,0,0.14146416015625,0.1455986328125,-0.004134472656249999,0.025,0.0256,-0.0005999999999999998
6,1,0.143318310546875,0.1455986328125,-0.0022803222656249955,0.0252,0.0256,-0.00040000000000000105
6,2,0.13848388671875,0.1455986328125,-0.007114746093749985,0.0236,0.0256,-0.0020000000000000018
6,3,0.145578369140625,0.1455986328125,-2.0263671874992673e-05,0.026,0.0256,0.0003999999999999976
6,4,0.14652236328125,0.1455986328125,0.0009237304687500225,0.0264,0.0256,0.0007999999999999986
6,5,0.14226787109375,0.1455986328125,-0.0033307617187499916,0.0242,0.0256,-0.001400000000000002
6,6,0.141699365234375,0.1455986328125,-0.0038992675781249764,0.0236,0.0256,-0.0020000000000000018
6,7,0.14046875,0.1455986328125,-0.005129882812499986,0.0258,0.0256,0.0001999999999999988
6,8,0.140415234375,0.1455986328125,-0.005183398437499986,0.0248,0.0256,-0.0008000000000000021
6,9,0.1504779296875,0.1455986328125,0.004879296875000022,0.0262,0.0256,0.0005999999999999998
6,10,0.143247021484375,0.1455986328125,-0.002351611328125003,0.0244,0.0256,-0.0011999999999999997
6,11,0.14546181640625,0.1455986328125,-0.00013681640624998992,0.0256,0.0256,0.0
7,0,0.14455029296875,0.1455986328125,-0.0010483398437499958,0.0252,0.0256,-0.00040000000000000105
7,1,0.127514404296875,0.1455986328125,-0.018084228515624995,0.0226,0.0256,-0.0030000000000000027
7,2,0.1409708984375,0.1455986328125,-0.004627734374999998,0.0242,0.0256,-0.001400000000000002
7,3,0.146679541015625,0.1455986328125,0.0010809082031250083,0.0258,0.0256,0.0001999999999999988
7,4,0.144660595703125,0.1455986328125,-0.000938037109374984,0.0248,0.0256,-0.0008000000000000021
7,5,0.149581640625,0.1455986328125,0.003983007812500022,0.0266,0.0256,0.0009999999999999974
7,6,0.127983251953125,0.1455986328125,-0.017615380859375,0.0214,0.0256,-0.004200000000000002
7,7,0.145906005859375,0.1455986328125,0.00030737304687500355,0.0254,0.0256,-0.00020000000000000226
7,8,0.145118017578125,0.1455986328125,-0.00048061523437498144,0.0252,0.0256,-0.00040000000000000105
7,9,0.148137890625,0.1455986328125,0.002539257812500001,0.0258,0.0256,0.0001999999999999988
7,10,0.14645107421875,0.1455986328125,0.0008524414062500152,0.0262,0.0256,0.0005999999999999998
7,11,0.146733935546875,0.1455986328125,0.00113530273437501,0.025,0.0256,-0.0005999999999999998
8,0,0.140748095703125,0.1455986328125,-0.004850537109374997,0.0228,0.0256,-0.0028000000000000004
8,1,0.1475001953125,0.1455986328125,0.0019015625000000091,0.0258,0.0256,0.0001999999999999988
8,2,0.14829697265625,0.1455986328125,0.0026983398437500083,0.0264,0.0256,0.0007999999999999986
8,3,0.14736611328125,0.1455986328125,0.001767480468749999,0.0238,0.0256,-0.0017999999999999995
8,4,0.14596220703125,0.1455986328125,0.0003635742187500235,0.0256,0.0256,0.0
8,5,0.14769501953125,0.1455986328125,0.0020963867187500096,0.0258,0.0256,0.0001999999999999988
8,6,0.145813623046875,0.1455986328125,0.00021499023437501763,0.0252,0.0256,-0.00040000000000000105
8,7,0.142932080078125,0.1455986328125,-0.002666552734374994,0.0256,0.0256,0.0
8,8,0.14784091796875,0.1455986328125,0.0022422851562500234,0.0258,0.0256,0.0001999999999999988
8,9,0.14618037109375,0.1455986328125,0.0005817382812500216,0.0256,0.0256,0.0
8,10,0.14845625,0.1455986328125,0.0028576171875000222,0.0264,0.0256,0.0007999999999999986
8,11,0.14321591796875,0.1455986328125,-0.0023827148437499945,0.0258,0.0256,0.0001999999999999988
9,0,0.142790966796875,0.1455986328125,-0.0028076660156249877,0.0258,0.0256,0.0001999999999999988
9,1,0.14619443359375,0.1455986328125,0.0005958007812500166,0.0254,0.0256,-0.00020000000000000226
9,2,0.146144580078125,0.1455986328125,0.0005459472656250131,0.0254,0.0256,-0.00020000000000000226
9,3,0.149299609375,0.1455986328125,0.0037009765625000135,0.0264,0.0256,0.0007999999999999986
9,4,0.146874267578125,0.1455986328125,0.0012756347656250056,0.025,0.0256,-0.0005999999999999998
9,5,0.14450166015625,0.1455986328125,-0.0010969726562500004,0.0246,0.0256,-0.0010000000000000009
9,6,0.149326806640625,0.1455986328125,0.0037281738281250143,0.0242,0.0256,-0.001400000000000002
9,7,0.146453076171875,0.1455986328125,0.0008544433593750123,0.0258,0.0256,0.0001999999999999988
9,8,0.145740234375,0.1455986328125,0.00014160156250001,0.0252,0.0256,-0.00040000000000000105
9,9,0.14460400390625,0.1455986328125,-0.0009946289062499891,0.0258,0.0256,0.0001999999999999988
9,10,0.14657373046875,0.1455986328125,0.0009750976562500069,0.0258,0.0256,0.0001999999999999988
9,11,0.1457951171875,0.1455986328125,0.00019648437500000004,0.0248,0.0256,-0.0008000000000000021
10,0,0.133193505859375,0.1455986328125,-0.012405126953124984,0.0232,0.0256,-0.002400000000000003
10,1,0.147573681640625,0.1455986328125,0.00197504882812502,0.0254,0.0256,-0.00020000000000000226
10,2,0.1433578125,0.1455986328125,-0.0022408203125000026,0.025,0.0256,-0.0005999999999999998
10,3,0.1437802734375,0.1455986328125,-0.001818359374999995,0.0246,0.0256,-0.0010000000000000009
10,4,0.148637890625,0.1455986328125,0.0030392578125000014,0.0254,0.0256,-0.00020000000000000226
10,5,0.148437744140625,0.1455986328125,0.0028391113281250047,0.0262,0.0256,0.0005999999999999998
10,6,0.138493505859375,0.1455986328125,-0.007105126953124985,0.0238,0.0256,-0.0017999999999999995
10,7,0.1785255859375,0.1455986328125,0.03292695312500002,0.0274,0.0256,0.0017999999999999995
10,8,0.1453337890625,0.1455986328125,-0.0002648437499999934,0.0246,0.0256,-0.0010000000000000009
10,9,0.14875556640625,0.1455986328125,0.003156933593750022,0.0256,0.0256,0.0
10,10,0.142826025390625,0.1455986328125,-0.0027726074218749897,0.0252,0.0256,-0.00040000000000000105
10,11,0.146378173828125,0.1455986328125,0.0007795410156250238,0.0236,0.0256,-0.0020000000000000018
11,0,0.12022392578125,0.1455986328125,-0.025374707031249985,0.014,0.0256,-0.011600000000000001
11,1,0.14813037109375,0.1455986328125,0.002531738281250001,0.0246,0.0256,-0.0010000000000000009
11,2,0.15034619140625,0.1455986328125,0.0047475585937500064,0.0244,0.0256,-0.0011999999999999997
11,3,0.15066650390625,0.1455986328125,0.005067871093750009,0.0236,0.0256,-0.0020000000000000018
11,4,0.145807373046875,0.1455986328125,0.00020874023437500444,0.025,0.0256,-0.0005999999999999998
11,5,0.142152685546875,0.1455986328125,-0.003445947265624999,0.0238,0.0256,-0.0017999999999999995
11,6,0.14575751953125,0.1455986328125,0.00015888671875000093,0.025,0.0256,-0.0005999999999999998
11,7,0.1459978515625,0.1455986328125,0.0003992187500000133,0.025,0.0256,-0.0005999999999999998
11,8,0.149258984375,0.1455986328125,0.003660351562499997,0.0258,0.0256,0.0001999999999999988
11,9,0.145959228515625,0.1455986328125,0.00036059570312502176,0.0256,0.0256,0.0
11,10,0.1633560546875,0.1455986328125,0.017757421875000012,0.0274,0.0256,0.0017999999999999995
11,11,0.1460130859375,0.1455986328125,0.0004144531250000194,0.0242,0.0256,-0.001400000000000002
