layer,head,ld_abl,ld_base,d_ld,acc_abl,acc_base,d_acc,p_drop,kl_div,acc_flip_rate
6,0,0.363037109375,0.3671875,-0.004150390625,0.1666666716337204,0.1666666716337204,0.0,0.0003662109375,,0.8333333134651184
6,1,0.36767578125,0.3671875,0.00048828125,0.1666666716337204,0.1666666716337204,0.0,-0.0040283203125,,0.8333333134651184
6,2,0.368408203125,0.3671875,0.001220703125,0.1666666716337204,0.1666666716337204,0.0,-0.0003662109375,,0.8333333134651184
6,3,0.3681640625,0.3671875,0.0009765625,0.1666666716337204,0.1666666716337204,0.0,0.0004475116729736328,,0.8333333134651184
6,4,0.36328125,0.3671875,-0.00390625,0.1666666716337204,0.1666666716337204,0.0,-0.0017499923706054688,,0.8333333134651184
6,5,0.3681640625,0.3671875,0.0009765625,0.1666666716337204,0.1666666716337204,0.0,-0.0008139610290527344,,0.8333333134651184
6,6,0.3642578125,0.3671875,-0.0029296875,0.1666666716337204,0.1666666716337204,0.0,0.0003254413604736328,,0.8333333134651184
6,7,0.3681640625,0.3671875,0.0009765625,0.1666666716337204,0.1666666716337204,0.0,-0.0003662109375,,0.8333333134651184
6,8,0.35546875,0.3671875,-0.01171875,0.1666666716337204,0.1666666716337204,0.0,0.0009765625,,0.8333333134651184
6,9,0.364501953125,0.3671875,-0.002685546875,0.1666666716337204,0.1666666716337204,0.0,0.0003254413604736328,,0.8333333134651184
6,10,0.3740234375,0.3671875,0.0068359375,0.1666666716337204,0.1666666716337204,0.0,-0.0005698204040527344,,0.8333333134651184
6,11,0.34814453125,0.3671875,-0.01904296875,0.1666666716337204,0.1666666716337204,0.0,0.0006103515625,,0.8333333134651184
6,12,0.371337890625,0.3671875,0.004150390625,0.1666666716337204,0.1666666716337204,0.0,0.0007729530334472656,,0.8333333134651184
6,13,0.367431640625,0.3671875,0.000244140625,0.1666666716337204,0.1666666716337204,0.0,-8.13603401184082e-05,,0.8333333134651184
6,14,0.3603515625,0.3671875,-0.0068359375,0.1666666716337204,0.1666666716337204,0.0,0.0007729530334472656,,0.8333333134651184
6,15,0.42236328125,0.3671875,0.05517578125,0.1666666716337204,0.1666666716337204,0.0,-0.007122039794921875,,0.8333333134651184
7,0,0.358642578125,0.3671875,-0.008544921875,0.1666666716337204,0.1666666716337204,0.0,0.0004475116729736328,,0.8333333134651184
7,1,0.379150390625,0.3671875,0.011962890625,0.1666666716337204,0.1666666716337204,0.0,-0.001220703125,,0.8333333134651184
7,2,0.39697265625,0.3671875,0.02978515625,0.1666666716337204,0.1666666716337204,0.0,-0.00927734375,,0.8333333134651184
7,3,0.368896484375,0.3671875,0.001708984375,0.1666666716337204,0.1666666716337204,0.0,-0.0015058517456054688,,0.8333333134651184
7,4,0.36181640625,0.3671875,-0.00537109375,0.1666666716337204,0.1666666716337204,0.0,-0.000732421875,,0.8333333134651184
7,5,0.3701171875,0.3671875,0.0029296875,0.1666666716337204,0.1666666716337204,0.0,-0.0003662109375,,0.8333333134651184
