layer,head,mean_value,rank
0,23,0.08807373046875,1
0,21,0.13720703125,2
19,10,0.18505859375,3
26,29,0.23583984375,4
3,7,0.251220703125,5
28,18,0.2548828125,6
30,12,0.25537109375,7
27,29,0.271484375,8
17,16,0.291015625,9
0,29,0.296630859375,10
0,16,0.306884765625,11
1,2,0.30810546875,12
20,11,0.308837890625,13
24,13,0.308837890625,14
18,28,0.313232421875,15
8,9,0.316162109375,16
16,17,0.316650390625,17
2,11,0.317626953125,18
17,28,0.317626953125,19
2,6,0.319580078125,20
0,2,0.323486328125,21
1,9,0.32421875,22
29,28,0.32421875,23
2,31,0.32568359375,24
17,23,0.326171875,25
14,28,0.3271484375,26
17,8,0.32861328125,27
12,1,0.328857421875,28
22,14,0.328857421875,29
26,27,0.329345703125,30
24,15,0.32958984375,31
2,10,0.330078125,32
20,30,0.331298828125,33
23,30,0.33203125,34
29,6,0.33251953125,35
0,30,0.333251953125,36
2,1,0.33349609375,37
7,17,0.33349609375,38
0,27,0.333740234375,39
11,19,0.333984375,40
0,5,0.334716796875,41
10,16,0.33642578125,42
21,6,0.33642578125,43
11,13,0.3369140625,44
14,19,0.338623046875,45
31,22,0.338623046875,46
0,31,0.3388671875,47
12,2,0.3388671875,48
20,22,0.3388671875,49
27,10,0.3388671875,50
0,28,0.339111328125,51
12,13,0.33935546875,52
28,6,0.340087890625,53
3,1,0.34033203125,54
11,26,0.340576171875,55
17,10,0.340576171875,56
29,25,0.3408203125,57
15,19,0.341064453125,58
11,22,0.34130859375,59
15,8,0.34130859375,60
0,26,0.342041015625,61
20,23,0.34228515625,62
30,3,0.34228515625,63
30,29,0.3427734375,64
2,15,0.343017578125,65
0,7,0.343994140625,66
4,27,0.343994140625,67
20,17,0.343994140625,68
19,4,0.344482421875,69
22,30,0.3447265625,70
31,12,0.344970703125,71
17,24,0.345458984375,72
24,5,0.345947265625,73
24,14,0.3466796875,74
29,5,0.3466796875,75
2,12,0.34765625,76
30,25,0.34814453125,77
3,23,0.3486328125,78
6,2,0.3486328125,79
20,10,0.3486328125,80
1,3,0.348876953125,81
15,1,0.349365234375,82
20,27,0.349365234375,83
15,13,0.350341796875,84
16,0,0.350341796875,85
6,23,0.3505859375,86
8,6,0.3505859375,87
13,2,0.350830078125,88
21,25,0.350830078125,89
10,14,0.3515625,90
18,6,0.35205078125,91
15,0,0.352294921875,92
10,15,0.3525390625,93
19,27,0.353759765625,94
30,22,0.353759765625,95
13,17,0.35400390625,96
26,9,0.354736328125,97
1,30,0.35498046875,98
3,18,0.35498046875,99
13,0,0.35498046875,100
3,20,0.355224609375,101
7,20,0.35546875,102
7,28,0.35546875,103
0,14,0.355712890625,104
25,23,0.355712890625,105
30,27,0.355712890625,106
24,23,0.356201171875,107
1,17,0.3564453125,108
16,6,0.356689453125,109
9,29,0.35693359375,110
12,11,0.35693359375,111
12,20,0.35693359375,112
14,13,0.35693359375,113
23,3,0.357177734375,114
1,20,0.357421875,115
2,16,0.357421875,116
25,10,0.357666015625,117
30,24,0.35791015625,118
9,6,0.3583984375,119
17,27,0.3583984375,120
10,8,0.35888671875,121
11,5,0.35888671875,122
10,28,0.359130859375,123
2,24,0.359619140625,124
11,16,0.360107421875,125
19,22,0.360107421875,126
9,21,0.3603515625,127
1,5,0.360595703125,128
4,14,0.360595703125,129
12,27,0.360595703125,130
13,18,0.360595703125,131
8,10,0.36083984375,132
6,27,0.361083984375,133
1,27,0.361328125,134
1,31,0.361328125,135
13,31,0.361572265625,136
0,8,0.36181640625,137
2,27,0.36181640625,138
3,28,0.36181640625,139
6,18,0.36181640625,140
28,7,0.36181640625,141
1,26,0.362060546875,142
14,8,0.362060546875,143
31,30,0.362060546875,144
4,1,0.3623046875,145
10,18,0.362548828125,146
2,19,0.36279296875,147
6,8,0.36279296875,148
27,19,0.36279296875,149
8,13,0.363037109375,150
12,17,0.363037109375,151
3,30,0.36328125,152
12,15,0.36328125,153
15,3,0.363525390625,154
1,18,0.36376953125,155
2,5,0.36376953125,156
4,10,0.36376953125,157
9,9,0.36376953125,158
15,14,0.36376953125,159
23,15,0.36376953125,160
10,0,0.3642578125,161
17,13,0.3642578125,162
19,17,0.3642578125,163
23,14,0.3642578125,164
24,21,0.3642578125,165
15,28,0.364501953125,166
22,4,0.364501953125,167
6,0,0.36474609375,168
27,22,0.36474609375,169
4,18,0.364990234375,170
20,29,0.364990234375,171
26,6,0.364990234375,172
4,9,0.365234375,173
5,18,0.365234375,174
12,9,0.365234375,175
19,3,0.365234375,176
26,11,0.365234375,177
31,6,0.365234375,178
31,10,0.365234375,179
0,1,0.365478515625,180
7,30,0.365478515625,181
31,18,0.365478515625,182
13,13,0.36572265625,183
21,23,0.36572265625,184
2,2,0.3662109375,185
