rank,layer,head,mean_value
1,0,2,2.146484375
2,0,4,1.814453125
3,0,7,1.8115234375
4,0,11,1.7998046875
5,0,9,1.7236328125
6,0,15,1.7119140625
7,0,6,1.697265625
8,0,8,1.6865234375
9,0,13,1.6787109375
10,0,5,1.666015625
11,0,12,1.6640625
12,0,0,1.6640625
