model,sigma,head,layer,var_before,var_after_full,vdi_full,var_after_minus,vdi_minus,vdi_effect
pythia-2.8b-deduped,0.03,0,8,17566.11942307692,17745.611538461537,-0.010218085796958282,17780.417307692307,-0.012199500609899,0.001981414812940716
pythia-2.8b-deduped,0.03,1,8,17566.11942307692,17745.611538461537,-0.010218085796958282,17884.506153846152,-0.018125046465923514,0.007906960668965233
pythia-2.8b-deduped,0.03,2,8,17566.11942307692,17745.611538461537,-0.010218085796958282,18201.69326923077,-0.03618180150357425,0.02596371570661597
pythia-2.8b-deduped,0.03,3,8,17566.11942307692,17745.611538461537,-0.010218085796958282,17880.308846153846,-0.017886103100504296,0.007668017303546014
pythia-2.8b-deduped,0.03,4,8,17566.11942307692,17745.611538461537,-0.010218085796958282,18225.393653846153,-0.03753101153935748,0.027312925742399196
pythia-2.8b-deduped,0.03,5,8,17566.11942307692,17745.611538461537,-0.010218085796958282,18079.94326923077,-0.029250845549804814,0.019032759752846528
pythia-2.8b-deduped,0.03,6,8,17566.11942307692,17745.611538461537,-0.010218085796958282,17896.573846153846,-0.01881203327371215,0.008593947476753865
pythia-2.8b-deduped,0.03,7,8,17566.11942307692,17745.611538461537,-0.010218085796958282,17768.9225,-0.011545126845525886,0.0013270410485676034
pythia-2.8b-deduped,0.03,8,8,17566.11942307692,17745.611538461537,-0.010218085796958282,18114.429807692308,-0.031214087267052347,0.020996001470094065
pythia-2.8b-deduped,0.03,9,8,17566.11942307692,17745.611538461537,-0.010218085796958282,17764.308076923076,-0.01128243803157748,0.001064352234619197
pythia-2.8b-deduped,0.03,10,8,17566.11942307692,17745.611538461537,-0.010218085796958282,17959.78019230769,-0.02241022958739599,0.012192143790437707
pythia-2.8b-deduped,0.03,11,8,17566.11942307692,17745.611538461537,-0.010218085796958282,18107.977692307693,-0.030846782728741046,0.020628696931782764
pythia-2.8b-deduped,0.03,12,8,17566.11942307692,17745.611538461537,-0.010218085796958282,17723.40442307692,-0.008953884247955856,-0.001264201549002427
pythia-2.8b-deduped,0.03,13,8,17566.11942307692,17745.611538461537,-0.010218085796958282,18070.410192307692,-0.028708148742759607,0.018490062945801324
pythia-2.8b-deduped,0.03,14,8,17566.11942307692,17745.611538461537,-0.010218085796958282,17858.51019230769,-0.01664515435587045,0.0064270685589121685
pythia-2.8b-deduped,0.03,15,8,17566.11942307692,17745.611538461537,-0.010218085796958282,17895.72653846154,-0.018763797936589582,0.008545712139631298
pythia-2.8b-deduped,0.03,16,8,17566.11942307692,17745.611538461537,-0.010218085796958282,18122.906153846154,-0.031696626748294314,0.02147854095133603
pythia-2.8b-deduped,0.03,17,8,17566.11942307692,17745.611538461537,-0.010218085796958282,17980.273846153847,-0.023576887592648553,0.013358801795690269
pythia-2.8b-deduped,0.03,18,8,17566.11942307692,17745.611538461537,-0.010218085796958282,18209.77903846154,-0.03664210631171228,0.026424020514753996
pythia-2.8b-deduped,0.03,19,8,17566.11942307692,17745.611538461537,-0.010218085796958282,18120.70326923077,-0.031571221440364415,0.02135313564340613
pythia-2.8b-deduped,0.03,20,8,17566.11942307692,17745.611538461537,-0.010218085796958282,17760.007884615385,-0.011037637674473992,0.0008195518775157084
pythia-2.8b-deduped,0.03,21,8,17566.11942307692,17745.611538461537,-0.010218085796958282,18036.47173076923,-0.026776107822334298,0.016558022025376012
pythia-2.8b-deduped,0.03,22,8,17566.11942307692,17745.611538461537,-0.010218085796958282,18113.946153846155,-0.031186553932312646,0.020968468135354364
pythia-2.8b-deduped,0.03,23,8,17566.11942307692,17745.611538461537,-0.010218085796958282,18089.985384615386,-0.029822520781126655,0.019604434984168372
pythia-2.8b-deduped,0.03,24,8,17566.11942307692,17745.611538461537,-0.010218085796958282,17844.167115384615,-0.01582863497685305,0.005610549179894767
pythia-2.8b-deduped,0.03,25,8,17566.11942307692,17745.611538461537,-0.010218085796958282,17807.60307692308,-0.01374712581817675,0.0035290400212184664
pythia-2.8b-deduped,0.03,26,8,17566.11942307692,17745.611538461537,-0.010218085796958282,17698.629423076924,-0.007543498755104745,-0.002674587041853538
pythia-2.8b-deduped,0.03,27,8,17566.11942307692,17745.611538461537,-0.010218085796958282,17963.72057692308,-0.022634546895076976,0.012416461098118694
pythia-2.8b-deduped,0.03,28,8,17566.11942307692,17745.611538461537,-0.010218085796958282,17803.82326923077,-0.01353194979658234,0.0033138639996240565
pythia-2.8b-deduped,0.03,29,8,17566.11942307692,17745.611538461537,-0.010218085796958282,18054.77,-0.02781778747792925,0.017599701680970962
pythia-2.8b-deduped,0.03,30,8,17566.11942307692,17745.611538461537,-0.010218085796958282,18084.168076923077,-0.02949135442888916,0.01927326863193088
pythia-2.8b-deduped,0.03,31,8,17566.11942307692,17745.611538461537,-0.010218085796958282,17946.484615384616,-0.021653342047077376,0.011435256250119093
