model,sigma,head,layer,var_before,var_after_full,vdi_full,var_after_minus,vdi_minus,vdi_effect
pythia-2.8b-deduped,0.05,0,16,94616.22615384616,94350.09692307693,0.0028127229502528254,94356.12692307692,0.0027489918097802174,6.37311404726082e-05
pythia-2.8b-deduped,0.05,1,16,94616.22615384616,94350.09692307693,0.0028127229502528254,95033.18,-0.00440679007294018,0.007219513023193005
pythia-2.8b-deduped,0.05,2,16,94616.22615384616,94350.09692307693,0.0028127229502528254,94797.65538461538,-0.0019175276603636546,0.00473025061061648
pythia-2.8b-deduped,0.05,3,16,94616.22615384616,94350.09692307693,0.0028127229502528254,94418.55846153846,0.002089152150142777,0.0007235708001100483
pythia-2.8b-deduped,0.05,4,16,94616.22615384616,94350.09692307693,0.0028127229502528254,94023.2,0.006267700350697797,-0.0034549774004449716
pythia-2.8b-deduped,0.05,5,16,94616.22615384616,94350.09692307693,0.0028127229502528254,94701.43846153846,-0.000900609875876325,0.0037133328261291505
pythia-2.8b-deduped,0.05,6,16,94616.22615384616,94350.09692307693,0.0028127229502528254,95299.89615384616,-0.0072257162200524624,0.010038439170305289
pythia-2.8b-deduped,0.05,7,16,94616.22615384616,94350.09692307693,0.0028127229502528254,93935.27923076923,0.007196935988227969,-0.0043842130379751435
pythia-2.8b-deduped,0.05,8,16,94616.22615384616,94350.09692307693,0.0028127229502528254,94963.4323076923,-0.003669625897798801,0.006482348848051626
pythia-2.8b-deduped,0.05,9,16,94616.22615384616,94350.09692307693,0.0028127229502528254,93420.95153846154,0.012632871379176602,-0.009820148428923776
pythia-2.8b-deduped,0.05,10,16,94616.22615384616,94350.09692307693,0.0028127229502528254,94405.96076923078,0.002222297307371914,0.0005904256428809114
pythia-2.8b-deduped,0.05,11,16,94616.22615384616,94350.09692307693,0.0028127229502528254,94545.82076923076,0.000744115332827998,0.0020686076174248275
pythia-2.8b-deduped,0.05,12,16,94616.22615384616,94350.09692307693,0.0028127229502528254,94654.58615384615,-0.0004054272883132392,0.0032181502385660644
pythia-2.8b-deduped,0.05,13,16,94616.22615384616,94350.09692307693,0.0028127229502528254,95848.61,-0.013025079272872091,0.015837802223124916
pythia-2.8b-deduped,0.05,14,16,94616.22615384616,94350.09692307693,0.0028127229502528254,95181.8723076923,-0.005978320810707486,0.008791043760960312
pythia-2.8b-deduped,0.05,15,16,94616.22615384616,94350.09692307693,0.0028127229502528254,94687.59153846154,-0.0007542615840472797,0.003566984534300105
pythia-2.8b-deduped,0.05,16,16,94616.22615384616,94350.09692307693,0.0028127229502528254,95177.26076923076,-0.005929581406812407,0.008742304357065233
pythia-2.8b-deduped,0.05,17,16,94616.22615384616,94350.09692307693,0.0028127229502528254,94138.40384615384,0.005050109554310239,-0.002237386604057414
pythia-2.8b-deduped,0.05,18,16,94616.22615384616,94350.09692307693,0.0028127229502528254,94815.96692307692,-0.002111062524370627,0.0049237854746234525
pythia-2.8b-deduped,0.05,19,16,94616.22615384616,94350.09692307693,0.0028127229502528254,94532.81692307693,0.0008815531348038547,0.0019311698154489707
pythia-2.8b-deduped,0.05,20,16,94616.22615384616,94350.09692307693,0.0028127229502528254,94813.97307692308,-0.0020899895410686044,0.00490271249132143
pythia-2.8b-deduped,0.05,21,16,94616.22615384616,94350.09692307693,0.0028127229502528254,95963.34615384616,-0.014237727023793738,0.017050449974046564
pythia-2.8b-deduped,0.05,22,16,94616.22615384616,94350.09692307693,0.0028127229502528254,95638.45461538462,-0.010803944556785752,0.013616667507038578
pythia-2.8b-deduped,0.05,23,16,94616.22615384616,94350.09692307693,0.0028127229502528254,95260.09,-0.0068050045148377826,0.009617727465090608
pythia-2.8b-deduped,0.05,24,16,94616.22615384616,94350.09692307693,0.0028127229502528254,94951.89615384616,-0.0035477001529758564,0.006360423103228682
pythia-2.8b-deduped,0.05,25,16,94616.22615384616,94350.09692307693,0.0028127229502528254,94222.75384615385,0.004158613418511581,-0.0013458904682587553
pythia-2.8b-deduped,0.05,26,16,94616.22615384616,94350.09692307693,0.0028127229502528254,94831.81538461539,-0.002278565099591671,0.005091288049844497
pythia-2.8b-deduped,0.05,27,16,94616.22615384616,94350.09692307693,0.0028127229502528254,94991.26923076923,-0.003963834663129056,0.006776557613381882
pythia-2.8b-deduped,0.05,28,16,94616.22615384616,94350.09692307693,0.0028127229502528254,93589.9823076923,0.010846383203713712,-0.008033660253460886
pythia-2.8b-deduped,0.05,29,16,94616.22615384616,94350.09692307693,0.0028127229502528254,94601.01538461538,0.00016076279776836174,0.0026519601524844635
pythia-2.8b-deduped,0.05,30,16,94616.22615384616,94350.09692307693,0.0028127229502528254,94000.72769230769,0.006505210433331731,-0.003692487483078906
pythia-2.8b-deduped,0.05,31,16,94616.22615384616,94350.09692307693,0.0028127229502528254,94638.38153846154,-0.0002341605189300101,0.0030468834691828356
