model,sigma,head,layer,var_before,var_after_full,vdi_full,var_after_minus,vdi_minus,vdi_effect
pythia-2.8b-deduped,0.08,0,8,128878.56307692308,136401.8076923077,-0.05837467795861637,136564.88461538462,-0.059640031320599474,0.0012653533619831068
pythia-2.8b-deduped,0.08,1,8,128878.56307692308,136401.8076923077,-0.05837467795861637,137021.23538461537,-0.06318096751926244,0.004806289560646083
pythia-2.8b-deduped,0.08,2,8,128878.56307692308,136401.8076923077,-0.05837467795861637,136820.60923076925,-0.06162426057703514,0.003249582618418778
pythia-2.8b-deduped,0.08,3,8,128878.56307692308,136401.8076923077,-0.05837467795861637,136002.7276923077,-0.0552781195359267,-0.0030965584226896633
pythia-2.8b-deduped,0.08,4,8,128878.56307692308,136401.8076923077,-0.05837467795861637,135297.8123076923,-0.049808510255796426,-0.008566167702819935
pythia-2.8b-deduped,0.08,5,8,128878.56307692308,136401.8076923077,-0.05837467795861637,136303.63384615385,-0.057612923297406825,-0.0007617546612095367
pythia-2.8b-deduped,0.08,6,8,128878.56307692308,136401.8076923077,-0.05837467795861637,137778.84923076924,-0.0690594769320472,0.01068479897343083
pythia-2.8b-deduped,0.08,7,8,128878.56307692308,136401.8076923077,-0.05837467795861637,134742.6769230769,-0.04550108028946406,-0.0128735976691523
pythia-2.8b-deduped,0.08,8,8,128878.56307692308,136401.8076923077,-0.05837467795861637,137010.50461538462,-0.06309770488058493,0.004723026921968567
pythia-2.8b-deduped,0.08,9,8,128878.56307692308,136401.8076923077,-0.05837467795861637,134684.47384615385,-0.04504946851219492,-0.01332520944642144
pythia-2.8b-deduped,0.08,10,8,128878.56307692308,136401.8076923077,-0.05837467795861637,136843.14307692306,-0.061799106149610074,0.003424428190993713
pythia-2.8b-deduped,0.08,11,8,128878.56307692308,136401.8076923077,-0.05837467795861637,137387.34307692308,-0.0660216858169144,0.007647007858298025
pythia-2.8b-deduped,0.08,12,8,128878.56307692308,136401.8076923077,-0.05837467795861637,136788.43384615384,-0.06137460397125658,0.00299992601264022
pythia-2.8b-deduped,0.08,13,8,128878.56307692308,136401.8076923077,-0.05837467795861637,137265.15846153846,-0.06507362577909657,0.006698947820480215
pythia-2.8b-deduped,0.08,14,8,128878.56307692308,136401.8076923077,-0.05837467795861637,137461.1723076923,-0.06659454470831241,0.008219866749696055
pythia-2.8b-deduped,0.08,15,8,128878.56307692308,136401.8076923077,-0.05837467795861637,136343.3046153846,-0.057920738408652875,-0.00045393954996349054
pythia-2.8b-deduped,0.08,16,8,128878.56307692308,136401.8076923077,-0.05837467795861637,136759.85076923078,-0.06115282095132947,0.0027781429927131065
pythia-2.8b-deduped,0.08,17,8,128878.56307692308,136401.8076923077,-0.05837467795861637,135547.76769230768,-0.051747974652727846,-0.006626703305888519
pythia-2.8b-deduped,0.08,18,8,128878.56307692308,136401.8076923077,-0.05837467795861637,136837.09076923077,-0.06175214482766637,0.0033774668690500025
pythia-2.8b-deduped,0.08,19,8,128878.56307692308,136401.8076923077,-0.05837467795861637,136608.21076923076,-0.05997620944682732,0.0016015314882109543
pythia-2.8b-deduped,0.08,20,8,128878.56307692308,136401.8076923077,-0.05837467795861637,136723.28461538462,-0.060869095303144424,0.002494417344528061
pythia-2.8b-deduped,0.08,21,8,128878.56307692308,136401.8076923077,-0.05837467795861637,137848.95384615383,-0.06960343563014933,0.01122875767153296
pythia-2.8b-deduped,0.08,22,8,128878.56307692308,136401.8076923077,-0.05837467795861637,137038.82615384617,-0.06331745856021467,0.004942780601598303
pythia-2.8b-deduped,0.08,23,8,128878.56307692308,136401.8076923077,-0.05837467795861637,136780.8646153846,-0.06131587247558713,0.0029411945169707716
pythia-2.8b-deduped,0.08,24,8,128878.56307692308,136401.8076923077,-0.05837467795861637,137653.7,-0.06808841372509224,0.009713735766475867
pythia-2.8b-deduped,0.08,25,8,128878.56307692308,136401.8076923077,-0.05837467795861637,136246.9076923077,-0.057172771324170577,-0.0012019066344457908
pythia-2.8b-deduped,0.08,26,8,128878.56307692308,136401.8076923077,-0.05837467795861637,138025.0523076923,-0.07096982626435712,0.012595148305740753
pythia-2.8b-deduped,0.08,27,8,128878.56307692308,136401.8076923077,-0.05837467795861637,136723.30153846153,-0.060869226613398865,0.002494548654782503
pythia-2.8b-deduped,0.08,28,8,128878.56307692308,136401.8076923077,-0.05837467795861637,134798.30615384615,-0.04593272097074658,-0.012441956987869785
pythia-2.8b-deduped,0.08,29,8,128878.56307692308,136401.8076923077,-0.05837467795861637,136729.62923076923,-0.06091832471130309,0.002543646752686727
pythia-2.8b-deduped,0.08,30,8,128878.56307692308,136401.8076923077,-0.05837467795861637,134773.86153846153,-0.045743049276703626,-0.01263162868191274
pythia-2.8b-deduped,0.08,31,8,128878.56307692308,136401.8076923077,-0.05837467795861637,137220.89384615383,-0.06473016590238917,0.006355487943772799
