model,sigma,head,layer,var_before,var_after_full,vdi_full,var_after_minus,vdi_minus,vdi_effect
pythia-2.8b-deduped,0.08,0,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84693.65,-1.4991986120928422,-0.002026974573951362
pythia-2.8b-deduped,0.08,1,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84424.21076923078,-1.4912478135196103,-0.009977773147183148
pythia-2.8b-deduped,0.08,2,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84890.65692307692,-1.5050120281957795,0.003786441528986032
pythia-2.8b-deduped,0.08,3,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84593.60769230769,-1.4962464947081837,-0.004979091958609714
pythia-2.8b-deduped,0.08,4,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84536.18846153846,-1.4945521284617664,-0.006673458205027173
pythia-2.8b-deduped,0.08,5,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84451.18846153846,-1.4920438898626756,-0.009181696804118032
pythia-2.8b-deduped,0.08,6,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84932.43692307692,-1.5062449012389563,0.005019314572162658
pythia-2.8b-deduped,0.08,7,4,33888.32307692308,84762.34076923077,-1.5012255866667934,83701.02615384615,-1.4699075833245938,-0.03131800334219961
pythia-2.8b-deduped,0.08,8,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84786.78923076922,-1.501947028724666,0.0007214420578723135
pythia-2.8b-deduped,0.08,9,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84197.0923076923,-1.4845458453808231,-0.01667974128597048
pythia-2.8b-deduped,0.08,10,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84699.43461538461,-1.4993693085115316,-0.0018562781552620095
pythia-2.8b-deduped,0.08,11,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84603.31538461539,-1.4965329559852927,-0.0046926306815007505
pythia-2.8b-deduped,0.08,12,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84514.05230769231,-1.493898919573386,-0.007326667093407482
pythia-2.8b-deduped,0.08,13,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84755.76153846153,-1.5010314421895263,-0.00019414447726721703
pythia-2.8b-deduped,0.08,14,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84751.9823076923,-1.5009199220425822,-0.00030566462421135516
pythia-2.8b-deduped,0.08,15,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84416.41307692308,-1.4910177138392575,-0.010207872827535968
pythia-2.8b-deduped,0.08,16,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84160.52692307692,-1.4834668488033769,-0.01775873786341657
pythia-2.8b-deduped,0.08,17,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84443.28538461539,-1.4918106804204396,-0.009414906246353778
pythia-2.8b-deduped,0.08,18,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84659.00923076922,-1.4981764083929974,-0.0030491782737962414
pythia-2.8b-deduped,0.08,19,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84867.26923076923,-1.504321888047664,0.0030963013808706506
pythia-2.8b-deduped,0.08,20,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84403.6023076923,-1.4906396848290375,-0.010585901837755889
pythia-2.8b-deduped,0.08,21,4,33888.32307692308,84762.34076923077,-1.5012255866667934,85014.52307692308,-1.508667156056931,0.007441569390137392
pythia-2.8b-deduped,0.08,22,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84789.25076923077,-1.5020196654985765,0.0007940788317828682
pythia-2.8b-deduped,0.08,23,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84635.47615384616,-1.4974819781354232,-0.003743608531370402
pythia-2.8b-deduped,0.08,24,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84853.54923076923,-1.5039170288290815,0.0026914421622879505
pythia-2.8b-deduped,0.08,25,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84499.39307692308,-1.4934663448857581,-0.0077592417810353875
pythia-2.8b-deduped,0.08,26,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84832.74153846155,-1.503303021099621,0.002077434432827379
pythia-2.8b-deduped,0.08,27,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84691.87,-1.4991460866257083,-0.0020795000410852305
pythia-2.8b-deduped,0.08,28,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84162.21384615384,-1.4835166276924974,-0.01770895897429617
pythia-2.8b-deduped,0.08,29,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84516.36076923077,-1.4939670392479187,-0.007258547418874817
pythia-2.8b-deduped,0.08,30,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84040.40615384615,-1.4799222423335288,-0.021303344333264702
pythia-2.8b-deduped,0.08,31,4,33888.32307692308,84762.34076923077,-1.5012255866667934,84689.68307692307,-1.4990815533918873,-0.0021440332749061678
