model,sigma,head,layer,var_before,var_after_full,vdi_full,var_after_minus,vdi_minus,vdi_effect
pythia-2.8b-deduped,0.03,0,0,1.8578235567533052,788.095048076923,-423.2033885360901,752.0992848557693,-403.8281561087118,-19.37523242737821
pythia-2.8b-deduped,0.03,1,0,1.8578235567533052,788.095048076923,-423.2033885360901,821.4692908653847,-441.1675502387147,17.964161702624644
pythia-2.8b-deduped,0.03,2,0,1.8578235567533052,788.095048076923,-423.2033885360901,795.7291286057692,-427.3125411523844,4.109152616294392
pythia-2.8b-deduped,0.03,3,0,1.8578235567533052,788.095048076923,-423.2033885360901,801.4806670673076,-430.40838867817945,7.205000142089409
pythia-2.8b-deduped,0.03,4,0,1.8578235567533052,788.095048076923,-423.2033885360901,786.846640625,-422.53141543757647,-0.6719730985135979
pythia-2.8b-deduped,0.03,5,0,1.8578235567533052,788.095048076923,-423.2033885360901,795.5804266826923,-427.23250022355865,4.029111687468616
pythia-2.8b-deduped,0.03,6,0,1.8578235567533052,788.095048076923,-423.2033885360901,789.1902524038461,-423.7928978697089,0.5895093336188632
pythia-2.8b-deduped,0.03,7,0,1.8578235567533052,788.095048076923,-423.2033885360901,779.7770012019231,-418.7260812887127,-4.4773072473773485
pythia-2.8b-deduped,0.03,8,0,1.8578235567533052,788.095048076923,-423.2033885360901,809.3825420673077,-434.6616854841523,11.458296948062294
pythia-2.8b-deduped,0.03,9,0,1.8578235567533052,788.095048076923,-423.2033885360901,787.5055288461539,-422.886071410561,-0.31731712552907215
pythia-2.8b-deduped,0.03,10,0,1.8578235567533052,788.095048076923,-423.2033885360901,779.1019951923076,-418.3627496864398,-4.840638849650217
pythia-2.8b-deduped,0.03,11,0,1.8578235567533052,788.095048076923,-423.2033885360901,782.5449699519231,-420.2159799068771,-2.9874086292129474
pythia-2.8b-deduped,0.03,12,0,1.8578235567533052,788.095048076923,-423.2033885360901,796.6055949519231,-427.7843116512393,4.580923115149269
pythia-2.8b-deduped,0.03,13,0,1.8578235567533052,788.095048076923,-423.2033885360901,794.161280048077,-426.46862432724083,3.2652357911507672
pythia-2.8b-deduped,0.03,14,0,1.8578235567533052,788.095048076923,-423.2033885360901,791.9883533653846,-425.29901558006264,2.095627043972569
pythia-2.8b-deduped,0.03,15,0,1.8578235567533052,788.095048076923,-423.2033885360901,785.8086358173077,-421.9726945601718,-1.2306939759182467
pythia-2.8b-deduped,0.03,16,0,1.8578235567533052,788.095048076923,-423.2033885360901,788.5208774038462,-423.43259723859313,0.2292087025031012
pythia-2.8b-deduped,0.03,17,0,1.8578235567533052,788.095048076923,-423.2033885360901,768.5187860576923,-412.6661865784177,-10.537201957672352
pythia-2.8b-deduped,0.03,18,0,1.8578235567533052,788.095048076923,-423.2033885360901,803.1904026442307,-431.3286782130538,8.12528967696375
pythia-2.8b-deduped,0.03,19,0,1.8578235567533052,788.095048076923,-423.2033885360901,792.285,-425.4586898578147,2.255301321724657
pythia-2.8b-deduped,0.03,20,0,1.8578235567533052,788.095048076923,-423.2033885360901,779.0588521634616,-418.3395273364544,-4.8638611996356405
pythia-2.8b-deduped,0.03,21,0,1.8578235567533052,788.095048076923,-423.2033885360901,749.4500360576923,-402.4021601962115,-20.80122833987852
pythia-2.8b-deduped,0.03,22,0,1.8578235567533052,788.095048076923,-423.2033885360901,787.3323317307693,-422.79284559546403,-0.4105429406259977
pythia-2.8b-deduped,0.03,23,0,1.8578235567533052,788.095048076923,-423.2033885360901,784.8646995192307,-421.46460739837124,-1.7387811377188052
pythia-2.8b-deduped,0.03,24,0,1.8578235567533052,788.095048076923,-423.2033885360901,786.9606310096154,-422.5927723862496,-0.6106161498404505
pythia-2.8b-deduped,0.03,25,0,1.8578235567533052,788.095048076923,-423.2033885360901,787.0998978365385,-422.66773474013775,-0.5356537959523114
pythia-2.8b-deduped,0.03,26,0,1.8578235567533052,788.095048076923,-423.2033885360901,804.9093930288461,-432.25394928003254,9.050560743942498
pythia-2.8b-deduped,0.03,27,0,1.8578235567533052,788.095048076923,-423.2033885360901,634.3542668269231,-340.45022250418,-82.75316603191006
pythia-2.8b-deduped,0.03,28,0,1.8578235567533052,788.095048076923,-423.2033885360901,786.0597295673077,-422.1078493487346,-1.0955391873554396
pythia-2.8b-deduped,0.03,29,0,1.8578235567533052,788.095048076923,-423.2033885360901,792.97734375,-425.83135374588056,2.627965209790542
pythia-2.8b-deduped,0.03,30,0,1.8578235567533052,788.095048076923,-423.2033885360901,802.6383413461539,-431.0315233535032,7.828134817413129
pythia-2.8b-deduped,0.03,31,0,1.8578235567533052,788.095048076923,-423.2033885360901,672.4821153846154,-360.97308024225487,-62.230308293835186
