model,sigma,head,layer,var_before,var_after_full,vdi_full,var_after_minus,vdi_minus,vdi_effect
pythia-2.8b-deduped,0.05,0,0,5.160600351186899,1398.993641826923,-270.09125811402254,1328.3915384615384,-256.4102716859325,-13.680986428090042
pythia-2.8b-deduped,0.05,1,0,5.160600351186899,1398.993641826923,-270.09125811402254,1465.4266826923076,-282.96438068591584,12.8731225718933
pythia-2.8b-deduped,0.05,2,0,5.160600351186899,1398.993641826923,-270.09125811402254,1416.6084735576924,-273.5045880624883,3.413329948465789
pythia-2.8b-deduped,0.05,3,0,5.160600351186899,1398.993641826923,-270.09125811402254,1426.1875,-275.3607725740645,5.269514460041951
pythia-2.8b-deduped,0.05,4,0,5.160600351186899,1398.993641826923,-270.09125811402254,1396.274170673077,-269.56429013185345,-0.5269679821691067
pythia-2.8b-deduped,0.05,5,0,5.160600351186899,1398.993641826923,-270.09125811402254,1411.2010336538463,-272.4567565049444,2.3654983909218195
pythia-2.8b-deduped,0.05,6,0,5.160600351186899,1398.993641826923,-270.09125811402254,1403.7441947115385,-271.0118007953644,0.9205426813418818
pythia-2.8b-deduped,0.05,7,0,5.160600351186899,1398.993641826923,-270.09125811402254,1388.4815625,-268.05427043593096,-2.036987678091612
pythia-2.8b-deduped,0.05,8,0,5.160600351186899,1398.993641826923,-270.09125811402254,1435.5848798076922,-277.1817583447473,7.090500230724795
pythia-2.8b-deduped,0.05,9,0,5.160600351186899,1398.993641826923,-270.09125811402254,1398.905048076923,-270.0740907799972,-0.01716733402531293
pythia-2.8b-deduped,0.05,10,0,5.160600351186899,1398.993641826923,-270.09125811402254,1383.3832331730769,-267.06633705997194,-3.024921054050607
pythia-2.8b-deduped,0.05,11,0,5.160600351186899,1398.993641826923,-270.09125811402254,1389.0543028846155,-268.1652537219131,-1.9260043921094594
pythia-2.8b-deduped,0.05,12,0,5.160600351186899,1398.993641826923,-270.09125811402254,1416.4228725961539,-273.4686230683194,3.3773649542968793
pythia-2.8b-deduped,0.05,13,0,5.160600351186899,1398.993641826923,-270.09125811402254,1413.5440504807693,-272.91077670947044,2.8195185954478683
pythia-2.8b-deduped,0.05,14,0,5.160600351186899,1398.993641826923,-270.09125811402254,1411.1698798076923,-272.45071964023214,2.359461526209593
pythia-2.8b-deduped,0.05,15,0,5.160600351186899,1398.993641826923,-270.09125811402254,1395.8300841346154,-269.47823686125685,-0.6130212527656947
pythia-2.8b-deduped,0.05,16,0,5.160600351186899,1398.993641826923,-270.09125811402254,1400.9785336538462,-270.47588232280606,0.3846242087834981
pythia-2.8b-deduped,0.05,17,0,5.160600351186899,1398.993641826923,-270.09125811402254,1360.1902884615386,-262.5721032241346,-7.519154889887963
pythia-2.8b-deduped,0.05,18,0,5.160600351186899,1398.993641826923,-270.09125811402254,1427.9474879807692,-275.7018158366695,5.610557722646936
pythia-2.8b-deduped,0.05,19,0,5.160600351186899,1398.993641826923,-270.09125811402254,1409.3465625,-272.0974046800312,2.0061465660086877
pythia-2.8b-deduped,0.05,20,0,5.160600351186899,1398.993641826923,-270.09125811402254,1383.55765625,-267.1001360494409,-2.9911220645816665
pythia-2.8b-deduped,0.05,21,0,5.160600351186899,1398.993641826923,-270.09125811402254,1328.5179927884615,-256.43477548749,-13.656482626532538
pythia-2.8b-deduped,0.05,22,0,5.160600351186899,1398.993641826923,-270.09125811402254,1399.9630769230769,-270.2791112764808,0.18785316245828634
pythia-2.8b-deduped,0.05,23,0,5.160600351186899,1398.993641826923,-270.09125811402254,1393.5131610576923,-269.02927299673473,-1.0619851172878194
pythia-2.8b-deduped,0.05,24,0,5.160600351186899,1398.993641826923,-270.09125811402254,1397.7701923076922,-269.85418307701656,-0.23707503700600296
pythia-2.8b-deduped,0.05,25,0,5.160600351186899,1398.993641826923,-270.09125811402254,1398.5796875,-270.0110437399667,-0.08021437405587314
pythia-2.8b-deduped,0.05,26,0,5.160600351186899,1398.993641826923,-270.09125811402254,1434.8190865384615,-277.03336606146297,6.942107947440435
pythia-2.8b-deduped,0.05,27,0,5.160600351186899,1398.993641826923,-270.09125811402254,1104.0540625,-212.93907440363523,-57.15218371038732
pythia-2.8b-deduped,0.05,28,0,5.160600351186899,1398.993641826923,-270.09125811402254,1395.5085096153846,-269.4159234679795,-0.6753346460430579
pythia-2.8b-deduped,0.05,29,0,5.160600351186899,1398.993641826923,-270.09125811402254,1409.9278846153845,-272.210050898654,2.118792784631476
pythia-2.8b-deduped,0.05,30,0,5.160600351186899,1398.993641826923,-270.09125811402254,1427.2926201923076,-275.57491823873573,5.483660124713199
pythia-2.8b-deduped,0.05,31,0,5.160600351186899,1398.993641826923,-270.09125811402254,1193.104591346154,-230.1949211629513,-39.89633695107125
