model,sigma,head,layer,var_before,var_after_full,vdi_full,var_after_minus,vdi_minus,vdi_effect
pythia-2.8b-deduped,0.05,0,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63789.67846153846,-1.3066363087502515,-0.0015291796026255405
pythia-2.8b-deduped,0.05,1,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63711.10076923077,-1.303794937504839,-0.004370550848038088
pythia-2.8b-deduped,0.05,2,4,27654.848846153847,63831.96769230769,-1.3081654883528768,64056.00461538461,-1.3162666688844815,0.008101180531604297
pythia-2.8b-deduped,0.05,3,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63763.07384615385,-1.3056742852175027,-0.002491203135374339
pythia-2.8b-deduped,0.05,4,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63841.25153846154,-1.3085011924532859,0.000335704100409131
pythia-2.8b-deduped,0.05,5,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63993.403076923074,-1.3140029957467325,0.00583750739385562
pythia-2.8b-deduped,0.05,6,4,27654.848846153847,63831.96769230769,-1.3081654883528768,64118.40923076923,-1.318523221279028,0.0103577329261512
pythia-2.8b-deduped,0.05,7,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63556.47615384615,-1.2982037076903206,-0.009961780662556484
pythia-2.8b-deduped,0.05,8,4,27654.848846153847,63831.96769230769,-1.3081654883528768,64094.67384615385,-1.3176649491999641,0.009499460847087329
pythia-2.8b-deduped,0.05,9,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63589.72846153846,-1.2994061119369429,-0.008759376415934304
pythia-2.8b-deduped,0.05,10,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63735.93692307692,-1.3046930134257855,-0.003472474927091292
pythia-2.8b-deduped,0.05,11,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63825.86076923077,-1.3079446618674062,-0.00022082648547074325
pythia-2.8b-deduped,0.05,12,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63841.99615384615,-1.3085281177635182,0.00036262941064144235
pythia-2.8b-deduped,0.05,13,4,27654.848846153847,63831.96769230769,-1.3081654883528768,64223.762307692305,-1.3223327910766849,0.014167302723807977
pythia-2.8b-deduped,0.05,14,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63994.40076923077,-1.314039072324596,0.00587358397171897
pythia-2.8b-deduped,0.05,15,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63870.263076923075,-1.3095502503824372,0.0013847620295602966
pythia-2.8b-deduped,0.05,16,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63848.834615384614,-1.3087753966973688,0.0006099083444915893
pythia-2.8b-deduped,0.05,17,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63745.35461538462,-1.30503355740634,-0.0031319309465370295
pythia-2.8b-deduped,0.05,18,4,27654.848846153847,63831.96769230769,-1.3081654883528768,64044.60769230769,-1.3158545558716666,0.007689067518789666
pythia-2.8b-deduped,0.05,19,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63950.64307692308,-1.3124567931173898,0.004291304764513037
pythia-2.8b-deduped,0.05,20,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63929.82384615385,-1.3117039692316026,0.0035384808787254558
pythia-2.8b-deduped,0.05,21,4,27654.848846153847,63831.96769230769,-1.3081654883528768,64334.11153846154,-1.3263230219176891,0.018157533564812298
pythia-2.8b-deduped,0.05,22,4,27654.848846153847,63831.96769230769,-1.3081654883528768,64251.75692307692,-1.323345077042895,0.015179588690017879
pythia-2.8b-deduped,0.05,23,4,27654.848846153847,63831.96769230769,-1.3081654883528768,64181.25076923077,-1.320795572822554,0.012630084469677217
pythia-2.8b-deduped,0.05,24,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63979.07769230769,-1.3134849894941916,0.005319501141314688
pythia-2.8b-deduped,0.05,25,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63781.18692307692,-1.306329254515069,-0.0018362338378078396
pythia-2.8b-deduped,0.05,26,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63810.85307692308,-1.3074019833522865,-0.0007635050005905039
pythia-2.8b-deduped,0.05,27,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63997.941538461535,-1.3141671066252159,0.006001618272338768
pythia-2.8b-deduped,0.05,28,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63516.730769230766,-1.2967665136258546,-0.011398974727022154
pythia-2.8b-deduped,0.05,29,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63767.19076923077,-1.305823153255069,-0.002342335097807921
pythia-2.8b-deduped,0.05,30,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63761.27307692308,-1.3056091693587688,-0.002556318994108215
pythia-2.8b-deduped,0.05,31,4,27654.848846153847,63831.96769230769,-1.3081654883528768,63641.665384615386,-1.301284152325659,-0.006881336027217959
