model,sigma,head,layer,var_before,var_after_full,vdi_full,var_after_minus,vdi_minus,vdi_effect
pythia-2.8b-deduped,0.05,0,8,83945.68923076923,87416.49615384615,-0.04134586248420172,87541.22461538462,-0.04283168579069204,0.0014858233064903223
pythia-2.8b-deduped,0.05,1,8,83945.68923076923,87416.49615384615,-0.04134586248420172,87966.78,-0.04790109898528162,0.006555236501079902
pythia-2.8b-deduped,0.05,2,8,83945.68923076923,87416.49615384615,-0.04134586248420172,87806.04307692307,-0.0459863261774123,0.004640463693210581
pythia-2.8b-deduped,0.05,3,8,83945.68923076923,87416.49615384615,-0.04134586248420172,87433.32461538461,-0.041546330926270254,0.00020046844206853676
pythia-2.8b-deduped,0.05,4,8,83945.68923076923,87416.49615384615,-0.04134586248420172,87229.86307692308,-0.03912260267618454,-0.0022232598080171805
pythia-2.8b-deduped,0.05,5,8,83945.68923076923,87416.49615384615,-0.04134586248420172,87773.87692307692,-0.04560314802805286,0.004257285543851145
pythia-2.8b-deduped,0.05,6,8,83945.68923076923,87416.49615384615,-0.04134586248420172,88488.70384615385,-0.05411849800763122,0.012772635523429502
pythia-2.8b-deduped,0.05,7,8,83945.68923076923,87416.49615384615,-0.04134586248420172,86837.24307692307,-0.034445531064792013,-0.006900331419409704
pythia-2.8b-deduped,0.05,8,8,83945.68923076923,87416.49615384615,-0.04134586248420172,88023.16615384615,-0.04857279701245658,0.007226934528254859
pythia-2.8b-deduped,0.05,9,8,83945.68923076923,87416.49615384615,-0.04134586248420172,86557.31076923077,-0.031110847530027526,-0.010235014954174193
pythia-2.8b-deduped,0.05,10,8,83945.68923076923,87416.49615384615,-0.04134586248420172,87474.05692307692,-0.042031553074846954,0.0006856905906452365
pythia-2.8b-deduped,0.05,11,8,83945.68923076923,87416.49615384615,-0.04134586248420172,87683.72923076923,-0.04452926688973878,0.00318340440553706
pythia-2.8b-deduped,0.05,12,8,83945.68923076923,87416.49615384615,-0.04134586248420172,87832.08,-0.046296490085952643,0.004950627601750924
pythia-2.8b-deduped,0.05,13,8,83945.68923076923,87416.49615384615,-0.04134586248420172,88845.13230769231,-0.05836443922039124,0.01701857673618952
pythia-2.8b-deduped,0.05,14,8,83945.68923076923,87416.49615384615,-0.04134586248420172,88215.53153846154,-0.05086434272943285,0.00951848024523113
pythia-2.8b-deduped,0.05,15,8,83945.68923076923,87416.49615384615,-0.04134586248420172,87799.41,-0.045907309887429436,0.0045614474032277166
pythia-2.8b-deduped,0.05,16,8,83945.68923076923,87416.49615384615,-0.04134586248420172,88243.27846153846,-0.05119487695139442,0.009849014467192701
pythia-2.8b-deduped,0.05,17,8,83945.68923076923,87416.49615384615,-0.04134586248420172,87057.54153846153,-0.037069828554718576,-0.004276033929483141
pythia-2.8b-deduped,0.05,18,8,83945.68923076923,87416.49615384615,-0.04134586248420172,87850.46076923078,-0.04651545033750583,0.005169587853304108
pythia-2.8b-deduped,0.05,19,8,83945.68923076923,87416.49615384615,-0.04134586248420172,87705.76615384615,-0.044791780942322806,0.003445918458121085
pythia-2.8b-deduped,0.05,20,8,83945.68923076923,87416.49615384615,-0.04134586248420172,87878.41461538461,-0.046848449523169626,0.005502587038967904
pythia-2.8b-deduped,0.05,21,8,83945.68923076923,87416.49615384615,-0.04134586248420172,88896.91230769231,-0.058981266605745764,0.017635404121544043
pythia-2.8b-deduped,0.05,22,8,83945.68923076923,87416.49615384615,-0.04134586248420172,88749.85538461538,-0.057229456305246965,0.015883593821045247
pythia-2.8b-deduped,0.05,23,8,83945.68923076923,87416.49615384615,-0.04134586248420172,88237.97076923077,-0.051131649257913976,0.009785786773712255
pythia-2.8b-deduped,0.05,24,8,83945.68923076923,87416.49615384615,-0.04134586248420172,88006.86230769231,-0.04837857803226549,0.00703271554806377
pythia-2.8b-deduped,0.05,25,8,83945.68923076923,87416.49615384615,-0.04134586248420172,87328.61384615385,-0.04029896765853999,-0.0010468948256617302
pythia-2.8b-deduped,0.05,26,8,83945.68923076923,87416.49615384615,-0.04134586248420172,87933.82153846153,-0.04750848249906918,0.006162620014867458
pythia-2.8b-deduped,0.05,27,8,83945.68923076923,87416.49615384615,-0.04134586248420172,88108.06,-0.049584091897658764,0.008238229413457044
pythia-2.8b-deduped,0.05,28,8,83945.68923076923,87416.49615384615,-0.04134586248420172,86682.35615384615,-0.03260044617125888,-0.00874541631294284
pythia-2.8b-deduped,0.05,29,8,83945.68923076923,87416.49615384615,-0.04134586248420172,87690.88230769231,-0.04461447766099619,0.003268615176794468
pythia-2.8b-deduped,0.05,30,8,83945.68923076923,87416.49615384615,-0.04134586248420172,87082.22,-0.03736380983910146,-0.003982052645100261
pythia-2.8b-deduped,0.05,31,8,83945.68923076923,87416.49615384615,-0.04134586248420172,87700.54538461538,-0.04472958871686595,0.0033837262326642296
