Probe,LogitDiff_Mean,Seeds,Scope
Facts,1.4837239583333333,3,Full H1
Negation,1.606793721516927,3,Full H1
Counterfactual,1.4197667439778645,3,Full H1
Logic,1.2937571207682292,3,Full H1
