model,head,condition,layer,step,mean_drift,mean_entropy
pythia-2.8b-deduped,-1,base,resid0,0,0.93402099609375,3.6211801916360855
pythia-2.8b-deduped,-1,base,resid_mid,0,0.235565185546875,3.6211801916360855
pythia-2.8b-deduped,-1,base,resid_final,0,0.40228271484375,3.6211801916360855
pythia-2.8b-deduped,-1,base,resid0,1,0.766204833984375,3.667054057121277
pythia-2.8b-deduped,-1,base,resid_mid,1,0.225616455078125,3.667054057121277
pythia-2.8b-deduped,-1,base,resid_final,1,0.444183349609375,3.667054057121277
pythia-2.8b-deduped,-1,base,resid0,2,0.6143798828125,3.390375779941678
pythia-2.8b-deduped,-1,base,resid_mid,2,0.17816162109375,3.390375779941678
pythia-2.8b-deduped,-1,base,resid_final,2,0.24951171875,3.390375779941678
pythia-2.8b-deduped,-1,base,resid0,3,0.84033203125,4.479800430126488
pythia-2.8b-deduped,-1,base,resid_mid,3,0.20635986328125,4.479800430126488
pythia-2.8b-deduped,-1,base,resid_final,3,0.525054931640625,4.479800430126488
pythia-2.8b-deduped,-1,base,resid0,4,0.849945068359375,4.251558318734169
pythia-2.8b-deduped,-1,base,resid_mid,4,0.19549560546875,4.251558318734169
pythia-2.8b-deduped,-1,base,resid_final,4,0.316986083984375,4.251558318734169
pythia-2.8b-deduped,-1,base,resid0,5,0.818084716796875,3.6985078901052475
pythia-2.8b-deduped,-1,base,resid_mid,5,0.197601318359375,3.6985078901052475
pythia-2.8b-deduped,-1,base,resid_final,5,0.317626953125,3.6985078901052475
pythia-2.8b-deduped,-1,base,resid0,6,0.88397216796875,3.469112034479622
pythia-2.8b-deduped,-1,base,resid_mid,6,0.193267822265625,3.469112034479622
pythia-2.8b-deduped,-1,base,resid_final,6,0.38885498046875,3.469112034479622
pythia-2.8b-deduped,-1,base,resid0,7,0.82080078125,2.8730731420218945
pythia-2.8b-deduped,-1,base,resid_mid,7,0.202301025390625,2.8730731420218945
pythia-2.8b-deduped,-1,base,resid_final,7,0.308135986328125,2.8730731420218945
pythia-2.8b-deduped,-1,base,resid0,8,0.87408447265625,3.3903738781809807
pythia-2.8b-deduped,-1,base,resid_mid,8,0.203521728515625,3.3903738781809807
pythia-2.8b-deduped,-1,base,resid_final,8,0.4046630859375,3.3903738781809807
