model,head,prompt_index,sample_index,mean_drift_between_mid,mean_drift_between_final,mean_kl_between
pythia-2.8b-deduped,1,0,0,0.281005859375,0.62646484375,7.613952159881592
pythia-2.8b-deduped,1,0,1,0.27880859375,0.61083984375,7.40102481842041
pythia-2.8b-deduped,1,1,0,0.283447265625,0.6318359375,8.223784446716309
pythia-2.8b-deduped,1,1,1,0.272705078125,0.53125,6.684998989105225
pythia-2.8b-deduped,1,2,0,0.23486328125,0.46337890625,7.920555114746094
pythia-2.8b-deduped,1,2,1,0.261474609375,0.46142578125,6.527581691741943
pythia-2.8b-deduped,1,3,0,0.33642578125,0.6259765625,8.793901443481445
pythia-2.8b-deduped,1,3,1,0.37109375,0.6298828125,8.761837005615234
pythia-2.8b-deduped,1,4,0,0.3408203125,0.7158203125,9.901683807373047
pythia-2.8b-deduped,1,4,1,0.4296875,0.505859375,9.01648998260498
pythia-2.8b-deduped,1,5,0,0.2469482421875,0.394287109375,5.956906318664551
pythia-2.8b-deduped,1,5,1,0.27587890625,0.386474609375,7.16409969329834
pythia-2.8b-deduped,1,6,0,0.433837890625,0.6103515625,9.6753568649292
pythia-2.8b-deduped,1,6,1,0.441162109375,0.87548828125,10.700996398925781
pythia-2.8b-deduped,1,7,0,0.259521484375,0.44921875,7.379463195800781
pythia-2.8b-deduped,1,7,1,0.271240234375,0.52197265625,7.036643028259277
pythia-2.8b-deduped,8,0,0,0.286376953125,0.576171875,8.262717247009277
pythia-2.8b-deduped,8,0,1,0.280517578125,0.49609375,8.410133361816406
pythia-2.8b-deduped,8,1,0,0.315673828125,0.5751953125,8.624439239501953
pythia-2.8b-deduped,8,1,1,0.323486328125,0.4775390625,7.537259578704834
pythia-2.8b-deduped,8,2,0,0.27734375,0.499267578125,8.332706451416016
pythia-2.8b-deduped,8,2,1,0.2388916015625,0.53271484375,8.044214248657227
pythia-2.8b-deduped,8,3,0,0.351806640625,0.5263671875,8.914405822753906
pythia-2.8b-deduped,8,3,1,0.40576171875,0.54052734375,8.56882381439209
pythia-2.8b-deduped,8,4,0,0.35107421875,0.64111328125,10.143383026123047
pythia-2.8b-deduped,8,4,1,0.26416015625,0.494384765625,7.211345672607422
pythia-2.8b-deduped,8,5,0,0.1666259765625,0.315185546875,6.1771650314331055
pythia-2.8b-deduped,8,5,1,0.34814453125,0.525390625,9.193222045898438
pythia-2.8b-deduped,8,6,0,0.0013933181762695312,0.00103759765625,0.0021560215391218662
pythia-2.8b-deduped,8,6,1,0.31298828125,0.60400390625,8.542733192443848
pythia-2.8b-deduped,8,7,0,0.2061767578125,0.29150390625,5.621783256530762
pythia-2.8b-deduped,8,7,1,0.250244140625,0.3974609375,6.971280097961426
pythia-2.8b-deduped,26,0,0,0.27880859375,0.53564453125,7.693941116333008
pythia-2.8b-deduped,26,0,1,0.292724609375,0.494384765625,7.992053508758545
pythia-2.8b-deduped,26,1,0,0.41552734375,0.54150390625,9.372869491577148
pythia-2.8b-deduped,26,1,1,0.2861328125,0.56494140625,8.946239471435547
pythia-2.8b-deduped,26,2,0,0.2254638671875,0.4814453125,8.330534934997559
pythia-2.8b-deduped,26,2,1,0.2266845703125,0.49365234375,8.340052604675293
pythia-2.8b-deduped,26,3,0,0.284912109375,0.4638671875,7.708099365234375
pythia-2.8b-deduped,26,3,1,0.328857421875,0.54638671875,8.315439224243164
pythia-2.8b-deduped,26,4,0,0.38037109375,0.76220703125,11.644759178161621
pythia-2.8b-deduped,26,4,1,0.2880859375,0.4404296875,6.874114036560059
pythia-2.8b-deduped,26,5,0,0.256103515625,0.44287109375,7.717874526977539
pythia-2.8b-deduped,26,5,1,0.272216796875,0.499267578125,8.862011909484863
pythia-2.8b-deduped,26,6,0,0.004650115966796875,0.0025634765625,0.003084703115746379
pythia-2.8b-deduped,26,6,1,0.2890625,0.6005859375,8.438922882080078
pythia-2.8b-deduped,26,7,0,0.220703125,0.3779296875,6.765735626220703
pythia-2.8b-deduped,26,7,1,0.26171875,0.453125,7.138733863830566
pythia-2.8b-deduped,27,0,0,0.265625,0.50537109375,7.288854122161865
pythia-2.8b-deduped,27,0,1,0.26318359375,0.409912109375,6.653247356414795
pythia-2.8b-deduped,27,1,0,0.224853515625,0.443359375,6.906713008880615
pythia-2.8b-deduped,27,1,1,0.28662109375,0.54931640625,9.020766258239746
pythia-2.8b-deduped,27,2,0,0.279541015625,0.4912109375,8.381059646606445
pythia-2.8b-deduped,27,2,1,0.273681640625,0.56787109375,9.074612617492676
pythia-2.8b-deduped,27,3,0,0.053619384765625,0.036224365234375,0.2481609284877777
pythia-2.8b-deduped,27,3,1,0.37646484375,0.7138671875,10.332206726074219
pythia-2.8b-deduped,27,4,0,0.341064453125,0.67333984375,10.423978805541992
pythia-2.8b-deduped,27,4,1,0.286376953125,0.51220703125,8.194835662841797
pythia-2.8b-deduped,27,5,0,0.16064453125,0.234130859375,4.795915126800537
pythia-2.8b-deduped,27,5,1,0.271484375,0.4345703125,7.118660926818848
pythia-2.8b-deduped,27,6,0,0.443359375,0.64208984375,10.271469116210938
pythia-2.8b-deduped,27,6,1,0.227783203125,0.4345703125,6.693315029144287
pythia-2.8b-deduped,27,7,0,0.0728759765625,0.1279296875,2.3281748294830322
pythia-2.8b-deduped,27,7,1,0.000213623046875,0.000274658203125,0.0004682755970861763
pythia-2.8b-deduped,31,0,0,0.28173828125,0.54736328125,8.409860610961914
pythia-2.8b-deduped,31,0,1,0.25146484375,0.38134765625,6.558894157409668
pythia-2.8b-deduped,31,1,0,0.305419921875,0.5791015625,9.006503105163574
pythia-2.8b-deduped,31,1,1,0.324951171875,0.6552734375,10.266188621520996
pythia-2.8b-deduped,31,2,0,0.389892578125,0.59130859375,10.473091125488281
pythia-2.8b-deduped,31,2,1,0.272705078125,0.55908203125,8.923855781555176
pythia-2.8b-deduped,31,3,0,0.30322265625,0.46826171875,8.82565689086914
pythia-2.8b-deduped,31,3,1,0.334716796875,0.61962890625,9.094622611999512
pythia-2.8b-deduped,31,4,0,0.3583984375,0.7109375,10.183436393737793
pythia-2.8b-deduped,31,4,1,0.324951171875,0.52587890625,9.522379875183105
pythia-2.8b-deduped,31,5,0,0.1754150390625,0.285888671875,5.584888458251953
pythia-2.8b-deduped,31,5,1,0.2978515625,0.55224609375,9.033099174499512
pythia-2.8b-deduped,31,6,0,0.0009255409240722656,0.0005593299865722656,0.0009272861061617732
pythia-2.8b-deduped,31,6,1,0.1837158203125,0.333984375,5.493924617767334
pythia-2.8b-deduped,31,7,0,0.2242431640625,0.42333984375,7.32991886138916
pythia-2.8b-deduped,31,7,1,0.007160186767578125,0.01186370849609375,0.17423850297927856
pythia-2.8b-deduped,0,0,0,0.253662109375,0.5966796875,8.906745910644531
pythia-2.8b-deduped,0,0,1,0.2666015625,0.495361328125,7.096160888671875
pythia-2.8b-deduped,0,1,0,0.32568359375,0.666015625,9.500699996948242
pythia-2.8b-deduped,0,1,1,0.26318359375,0.55322265625,8.416475296020508
pythia-2.8b-deduped,0,2,0,0.27197265625,0.48876953125,8.492598533630371
pythia-2.8b-deduped,0,2,1,0.2379150390625,0.49609375,7.753215312957764
pythia-2.8b-deduped,0,3,0,0.344970703125,0.447021484375,9.563474655151367
pythia-2.8b-deduped,0,3,1,0.322265625,0.61669921875,8.896891593933105
