model,sigma,head,var_before,var_after_full,vdi_full,var_after_minus,vdi_minus,vdi_effect
pythia-2.8b-deduped,0.02,0,0.8519073009490967,379.3531591796875,-444.2986360805407,362.8616357421875,-424.9402816925374,-19.358354388003313
pythia-2.8b-deduped,0.02,1,0.8519073009490967,379.3531591796875,-444.2986360805407,390.78384765625,-457.71639698460586,13.417760904065164
pythia-2.8b-deduped,0.02,2,0.8519073009490967,379.3531591796875,-444.2986360805407,380.69068359375,-445.8686712387937,1.5700351582529986
pythia-2.8b-deduped,0.02,3,0.8519073009490967,379.3531591796875,-444.2986360805407,383.79591796875,-449.5137091103327,5.2150730297919745
pythia-2.8b-deduped,0.02,4,0.8519073009490967,379.3531591796875,-444.2986360805407,377.2216162109375,-441.79655285343927,-2.502083227101461
pythia-2.8b-deduped,0.02,5,0.8519073009490967,379.3531591796875,-444.2986360805407,381.4679833984375,-446.7810942263905,2.482458145849816
pythia-2.8b-deduped,0.02,6,0.8519073009490967,379.3531591796875,-444.2986360805407,378.5720703125,-443.3817653525668,-0.9168707279739491
pythia-2.8b-deduped,0.02,7,0.8519073009490967,379.3531591796875,-444.2986360805407,373.972265625,-437.98234609371616,-6.316289986824578
pythia-2.8b-deduped,0.02,8,0.8519073009490967,379.3531591796875,-444.2986360805407,388.604033203125,-455.1576509206897,10.859014840148996
pythia-2.8b-deduped,0.02,9,0.8519073009490967,379.3531591796875,-444.2986360805407,377.2956982421875,-441.8835130557611,-2.4151230247796205
pythia-2.8b-deduped,0.02,10,0.8519073009490967,379.3531591796875,-444.2986360805407,373.430322265625,-437.34619312405476,-6.952442956485929
pythia-2.8b-deduped,0.02,11,0.8519073009490967,379.3531591796875,-444.2986360805407,375.592109375,-439.8837780314345,-4.414858049106252
pythia-2.8b-deduped,0.02,12,0.8519073009490967,379.3531591796875,-444.2986360805407,382.231484375,-447.67731964400565,3.3786835634649135
pythia-2.8b-deduped,0.02,13,0.8519073009490967,379.3531591796875,-444.2986360805407,380.3184033203125,-445.4316750151168,1.1330389345761112
pythia-2.8b-deduped,0.02,14,0.8519073009490967,379.3531591796875,-444.2986360805407,380.0867724609375,-445.15977822644396,0.8611421459032755
pythia-2.8b-deduped,0.02,15,0.8519073009490967,379.3531591796875,-444.2986360805407,376.9268408203125,-441.4505347006466,-2.8481013798941093
pythia-2.8b-deduped,0.02,16,0.8519073009490967,379.3531591796875,-444.2986360805407,378.06548828125,-442.7871208053424,-1.5115152751982959
pythia-2.8b-deduped,0.02,17,0.8519073009490967,379.3531591796875,-444.2986360805407,369.4625634765625,-432.6886924961788,-11.609943584361902
pythia-2.8b-deduped,0.02,18,0.8519073009490967,379.3531591796875,-444.2986360805407,383.607578125,-449.2926289017933,4.993992821252598
pythia-2.8b-deduped,0.02,19,0.8519073009490967,379.3531591796875,-444.2986360805407,380.74705078125,-445.93483710852763,1.636201027986918
pythia-2.8b-deduped,0.02,20,0.8519073009490967,379.3531591796875,-444.2986360805407,372.09509765625,-435.7788575607987,-8.519778519742008
pythia-2.8b-deduped,0.02,21,0.8519073009490967,379.3531591796875,-444.2986360805407,360.8226171875,-422.5468070123511,-21.75182906818962
pythia-2.8b-deduped,0.02,22,0.8519073009490967,379.3531591796875,-444.2986360805407,376.552451171875,-441.0110624153165,-3.287573665224213
pythia-2.8b-deduped,0.02,23,0.8519073009490967,379.3531591796875,-444.2986360805407,376.817255859375,-441.32189985878597,-2.976736221754765
pythia-2.8b-deduped,0.02,24,0.8519073009490967,379.3531591796875,-444.2986360805407,376.996904296875,-441.5327777762541,-2.765858304286659
pythia-2.8b-deduped,0.02,25,0.8519073009490967,379.3531591796875,-444.2986360805407,377.1255078125,-441.68373729436325,-2.6148987861774384
pythia-2.8b-deduped,0.02,26,0.8519073009490967,379.3531591796875,-444.2986360805407,385.63416015625,-451.67150513514906,7.372869054608324
pythia-2.8b-deduped,0.02,27,0.8519073009490967,379.3531591796875,-444.2986360805407,314.44731201171874,-368.1097748092989,-76.1888612712418
pythia-2.8b-deduped,0.02,28,0.8519073009490967,379.3531591796875,-444.2986360805407,377.499775390625,-442.12306628908846,-2.175569791452268
pythia-2.8b-deduped,0.02,29,0.8519073009490967,379.3531591796875,-444.2986360805407,379.846318359375,-444.8775243928466,0.5788883123058981
pythia-2.8b-deduped,0.02,30,0.8519073009490967,379.3531591796875,-444.2986360805407,384.4128173828125,-450.2378482430472,5.939212162506509
pythia-2.8b-deduped,0.02,31,0.8519073009490967,379.3531591796875,-444.2986360805407,327.53136962890625,-383.46832098282124,-60.83031509771944
